accession	NCBI_COG	NCBI_COG_Description	PathwayID	Pathway	NCBI_COG_evalue
GCA_000017945-FLGBHGLA_04770	COG1353	CRISPR/Cas_system-associated_protein_Cas10,_large_subunit_of_type_III_CRISPR-Cas_systems,_contains_HD_superfamily_nuclease_domain	V	CRISPR-Cas_system	4.7e-43
GCA_000017945-FLGBHGLA_04780	COG1769	CRISPR-Cas_system_type_III_CMR-effector_complex_subunit_Cmr3,_RAMP_superfamily_Cas5_group	V	CRISPR-Cas_system	2.3e-07
GCA_000017945-FLGBHGLA_04790	COG1384	Lysyl-tRNA_synthetase,_class_I	J	Aminoacyl-tRNA_synthetases	1.5e-134
GCA_000017945-FLGBHGLA_04800	COG0512	Anthranilate/para-aminobenzoate_synthase_component_II_(glutamine_amidotransferase)	EH	Aromatic_amino_acid_biosynthesis	7.3e-61
GCA_000017945-FLGBHGLA_04810	COG1468	CRISPR/Cas_system-associated_exonuclease_Cas4,_RecB_family	V	CRISPR-Cas_system	3.7e-25
GCA_000017945-FLGBHGLA_04820	COG0491	Glyoxylase_or_a_related_metal-dependent_hydrolase,_beta-lactamase_superfamily_II	R	-	2.3e-19
GCA_000017945-FLGBHGLA_04830	-	-	-	-	-
GCA_000017945-FLGBHGLA_04840	COG4133	ABC-type_transport_system_involved_in_cytochrome_c_biogenesis,_ATPase_component	O	-	8.4e-36
GCA_000017945-FLGBHGLA_04850	COG4662	ABC-type_tungstate_transport_system,_periplasmic_component	P	-	2e-63
GCA_000017945-FLGBHGLA_04860	COG2998	ABC-type_tungstate_transport_system,_permease_component_TupA	P	-	6e-86
GCA_000017945-FLGBHGLA_04870	-	-	-	-	-
GCA_000017945-FLGBHGLA_04880	-	-	-	-	-
GCA_000017945-FLGBHGLA_04890	COG1541	Phenylacetate-coenzyme_A_ligase_PaaK,_adenylate-forming_domain_family	H	-	4.9e-60
GCA_000017945-FLGBHGLA_04900	COG1257	Hydroxymethylglutaryl-CoA_reductase	I	Isoprenoid_biosynthesis	2e-117
GCA_000017945-FLGBHGLA_04910	-	-	-	-	-
GCA_000017945-FLGBHGLA_04920	COG0343	Queuine/archaeosine_tRNA-ribosyltransferase	J	tRNA_modification	1.6e-70
GCA_000017945-FLGBHGLA_04930	COG3127	Predicted_ABC-type_transport_system_involved_in_lysophospholipase_L1_biosynthesis,_permease_component	Q	-	2.6e-44
GCA_000017945-FLGBHGLA_04940	COG1361	S-layer_protein_MJ0795,_predicted_component_of_type_IV_pili-like_system	R	-	5.2e-70
GCA_000017945-FLGBHGLA_04950	COG4998	Predicted_endonuclease,_RecB_family	L	-	9e-56
GCA_000017945-FLGBHGLA_04960	-	-	-	-	-
GCA_000017945-FLGBHGLA_04970	COG1648	Siroheme_synthase_(precorrin-2_oxidase/ferrochelatase_domain)	H	Heme_biosynthesis	1.1e-45
GCA_000017945-FLGBHGLA_04980	-	-	-	-	-
GCA_000017945-FLGBHGLA_04990	COG1859	RNA:NAD_2'-phosphotransferase,_TPT1/KptA_family	J	-	1.6e-48
GCA_000017945-FLGBHGLA_05000	COG4021	tRNA(His)_5'-end_guanylyltransferase	J	tRNA_modification	6.4e-38
GCA_000017945-FLGBHGLA_05010	COG1813	Archaeal_ribosome-binding_protein_aMBF1,_putative_translation_factor,_contains_Zn-ribbon_and_HTH_domains	J	-	8.9e-22
GCA_000017945-FLGBHGLA_05020	COG4001	Uncharacterized_conserved_protein	S	-	5.1e-225
GCA_000017945-FLGBHGLA_05030	COG1313	Radical_SAM_superfamily_enzyme_PflX	R	-	1.3e-97
GCA_000017945-FLGBHGLA_05040	COG1647	Esterase/lipase	Q	-	2.6e-18
GCA_000017945-FLGBHGLA_05050	COG0309	Carbamoyl_dehydratase_HypE_(hydrogenase_maturation_factor)	O	-	3.3e-105
GCA_000017945-FLGBHGLA_05060	-	-	-	-	-
GCA_000017945-FLGBHGLA_05070	COG3044	Predicted_ATPase_of_the_ABC_class	R	-	2.4e-146
GCA_000017945-FLGBHGLA_05080	-	-	-	-	-
GCA_000017945-FLGBHGLA_05090	COG1522	DNA-binding_transcriptional_regulator,_Lrp_family	K	-	7.4e-27
GCA_000017945-FLGBHGLA_05100	COG0461	Orotate_phosphoribosyltransferase	F	Pyrimidine_biosynthesis	3e-47
GCA_000017945-FLGBHGLA_05110	COG0685	5,10-methylenetetrahydrofolate_reductase	E	-	1.3e-53
GCA_000017945-FLGBHGLA_05120	COG2905	Signal-transduction_protein_containing_cAMP-binding,_CBS,_and_nucleotidyltransferase_domains	T	-	5.3e-33
GCA_000017945-FLGBHGLA_05130	-	-	-	-	-
GCA_000017945-FLGBHGLA_05140	-	-	-	-	-
GCA_000017945-FLGBHGLA_05150	COG3342	Uncharacterized_conserved_protein,_Ntn-hydrolase_superfamily	R	-	1e-18
GCA_000017945-FLGBHGLA_05160	COG4839	Cell_division_protein_FtsL	D	-	6.4e-06
GCA_000017945-FLGBHGLA_05170	-	-	-	-	-
GCA_000017945-FLGBHGLA_05180	-	-	-	-	-
GCA_000017945-FLGBHGLA_05190	COG0680	Ni,Fe-hydrogenase_maturation_factor	C	-	3e-24
GCA_000017945-FLGBHGLA_05200	COG1888	Uncharacterized_conserved_protein,_DUF211_domain	S	-	4.3e-25
GCA_000017945-FLGBHGLA_05210	COG0037	tRNA(Ile)-lysidine_synthase_TilS/MesJ	J	tRNA_modification	1.6e-33
GCA_000017945-FLGBHGLA_05220	COG1437	Adenylate_cyclase_class_IV,_CYTH_domain_(includes_archaeal_enzymes_of_unknown_function)	TR	-	6.3e-44
GCA_000017945-FLGBHGLA_05230	COG2888	Predicted_RNA-binding_protein_involved_in_translation,_contains__Zn-ribbon_domain,_DUF1610_family	R	-	3.5e-15
GCA_000017945-FLGBHGLA_05240	COG2092	Translation_elongation_factor_EF-1beta	J	Translation_factors	2.5e-33
GCA_000017945-FLGBHGLA_05250	-	-	-	-	-
GCA_000017945-FLGBHGLA_05260	COG2248	Predicted_hydrolase,_metallo-beta-lactamase_superfamily	R	-	1.2e-79
GCA_000017945-FLGBHGLA_05270	COG0373	Glutamyl-tRNA_reductase	H	Heme_biosynthesis	4e-111
GCA_000017945-FLGBHGLA_05280	COG0145	N-methylhydantoinase_A/oxoprolinase/acetone_carboxylase,_beta_subunit	EQ	-	3.4e-08
GCA_000017945-FLGBHGLA_05290	COG0145	N-methylhydantoinase_A/oxoprolinase/acetone_carboxylase,_beta_subunit	EQ	-	5.9e-182
GCA_000017945-FLGBHGLA_05300	-	-	-	-	-
GCA_000017945-FLGBHGLA_05310	-	-	-	-	-
GCA_000017945-FLGBHGLA_05320	COG1110	Reverse_gyrase	L	-	0
GCA_000017945-FLGBHGLA_05330	COG1205	ATP-dependent_helicase_YprA,__contains_C-terminal_metal-binding_DUF1998_domain	L	-	1.6e-74
GCA_000017945-FLGBHGLA_05340	-	-	-	-	-
GCA_000017945-FLGBHGLA_05350	COG0182	5-methylthioribose/5-deoxyribulose_1-phosphate_isomerase_(methionine_salvage_pathway),_a_paralog_of_eIF-2B_alpha_subunit	E	-	4.8e-142
GCA_000017945-FLGBHGLA_05360	-	-	-	-	-
GCA_000017945-FLGBHGLA_05370	COG0624	Acetylornithine_deacetylase/Succinyl-diaminopimelate_desuccinylase_or_related_deacylase	E	Arginine_biosynthesis	5.5e-71
GCA_000017945-FLGBHGLA_05380	-	-	-	-	-
GCA_000017945-FLGBHGLA_05390	COG2410	Predicted_nuclease_(RNAse_H_fold)	R	-	4.7e-36
GCA_000017945-FLGBHGLA_05400	-	-	-	-	-
GCA_000017945-FLGBHGLA_05410	COG2129	Predicted_phosphoesterase,_related_to_the_Icc_protein	R	-	1.2e-44
GCA_000017945-FLGBHGLA_05420	COG5324	tRNA_splicing_ligase	J	tRNA_modification	6.1e-09
GCA_000017945-FLGBHGLA_05430	COG1818	tRNA(Ser,Leu)_C12_N-acetylase_TAN1,_contains_THUMP_domain	J	tRNA_modification	3.3e-06
GCA_000017945-FLGBHGLA_05440	COG5557	Ni/Fe-hydrogenase_2_integral_membrane_subunit_HybB	C	-	4.7e-87
GCA_000017945-FLGBHGLA_05450	COG0437	Fe-S-cluster-containing_dehydrogenase_component_(DMSO_reductase)	C	-	4e-48
GCA_000017945-FLGBHGLA_05460	COG3303	Formate-dependent_nitrite_reductase,_periplasmic_cytochrome_c552_subunit	P	-	5.2e-10
GCA_000017945-FLGBHGLA_05470	COG0082	Chorismate_synthase	E	Aromatic_amino_acid_biosynthesis	6.6e-134
GCA_000017945-FLGBHGLA_05480	COG0430	RNA_3'-terminal_phosphate_cyclase	A	-	1.1e-126
GCA_000017945-FLGBHGLA_05490	COG0616	Periplasmic_serine_protease,_ClpP_class	O	-	2.1e-20
GCA_000017945-FLGBHGLA_05500	-	-	-	-	-
GCA_000017945-FLGBHGLA_05510	COG4934	Serine_protease,_subtilase_family	O	-	4.6e-08
GCA_000017945-FLGBHGLA_05520	-	-	-	-	-
GCA_000017945-FLGBHGLA_05530	COG0061	NAD_kinase	H	-	3e-59
GCA_000017945-FLGBHGLA_05540	COG2138	Sirohydrochlorin_ferrochelatase	H	Cobalamine/B12_biosynthesis	2.5e-23
GCA_000017945-FLGBHGLA_05550	COG2090	Uncharacterized_conserved_protein,_DUF371_domain	S	-	3.5e-30
GCA_000017945-FLGBHGLA_05560	COG1055	Na+/H+_antiporter_NhaD_or_related_arsenite_permease	P	-	1.9e-88
GCA_000017945-FLGBHGLA_05570	COG1685	Archaeal_shikimate_kinase	E	Aromatic_amino_acid_biosynthesis	4.5e-85
GCA_000017945-FLGBHGLA_05580	-	-	-	-	-
GCA_000017945-FLGBHGLA_05590	COG0649	NADH:ubiquinone_oxidoreductase_49_kD_subunit_(chain_D)	C	NADH_dehydrogenase	4.1e-124
GCA_000017945-FLGBHGLA_05600	COG0377	NADH:ubiquinone_oxidoreductase_20_kD_subunit_(chain_B)_or_related_Fe-S_oxidoreductase	C	NADH_dehydrogenase	4.2e-52
GCA_000017945-FLGBHGLA_05610	COG0838	NADH:ubiquinone_oxidoreductase_subunit_3_(chain_A)	C	NADH_dehydrogenase	4.8e-14
GCA_000017945-FLGBHGLA_05620	COG1008	NADH:ubiquinone_oxidoreductase_subunit_4_(chain_M)	C	NADH_dehydrogenase	3e-112
GCA_000017945-FLGBHGLA_05630	COG1009	Membrane_H+-translocase/NADH:ubiquinone_oxidoreductase_subunit_5_(chain_L)/Multisubunit_Na+/H+_antiporter,_MnhA_subunit	C	NADH_dehydrogenase	2.2e-144
GCA_000017945-FLGBHGLA_05640	COG1339	Archaeal_CTP-dependent_riboflavin_kinase	H	Riboflavin/FAD_biosynthesis	6.1e-53
GCA_000017945-FLGBHGLA_05650	-	-	-	-	-
GCA_000017945-FLGBHGLA_05660	-	-	-	-	-
GCA_000017945-FLGBHGLA_05670	-	-	-	-	-
GCA_000017945-FLGBHGLA_05680	COG1245	Translation_initiation_factor_RLI1,_contains_Fe-S_and_AAA+_ATPase_domains	J	-	4.5e-40
GCA_000017945-FLGBHGLA_05690	COG0043	3-polyprenyl-4-hydroxybenzoate_decarboxylase	H	Ubiquinone_biosynthesis	1.5e-88
GCA_000017945-FLGBHGLA_05700	COG0746	Molybdopterin-guanine_dinucleotide_biosynthesis_protein_A	H	Molybdopterin_biosynthesis	4.3e-07
GCA_000017945-FLGBHGLA_05710	COG0456	Ribosomal_protein_S18_acetylase_RimI_and_related_acetyltransferases	J	-	1.7e-18
GCA_000017945-FLGBHGLA_05720	COG0452	Phosphopantothenoylcysteine_synthetase/decarboxylase_CoaBC	H	Pantothenate/CoA_biosynthesis	2.4e-105
GCA_000017945-FLGBHGLA_05730	COG2271	Sugar_phosphate_permease	G	-	2.2e-10
GCA_000017945-FLGBHGLA_05740	-	-	-	-	-
GCA_000017945-FLGBHGLA_05750	COG2404	Oligoribonuclease_NrnA/c-di-AMP_phosphodiesterase_DhhP,_DHH_superfamily	JT	-	9.8e-17
GCA_000017945-FLGBHGLA_05760	-	-	-	-	-
GCA_000017945-FLGBHGLA_05770	COG1058	ADP-ribose_pyrophosphatase_domain_of_DNA_damage-_and_competence-inducible_protein_CinA	L	-	6.3e-69
GCA_000017945-FLGBHGLA_05780	COG1635	Thiazole_synthase/Archaeal_ribulose_1,5-bisphosphate_synthetase	GH	-	9.9e-81
GCA_000017945-FLGBHGLA_05790	COG4946	Uncharacterized_N-terminal_domain_of_tricorn_protease,_contains_WD40_repeats	S	-	8e-13
GCA_000017945-FLGBHGLA_05800	COG0139	Phosphoribosyl-AMP_cyclohydrolase	E	Histidine_biosynthesis	7.9e-42
GCA_000017945-FLGBHGLA_05810	-	-	-	-	-
GCA_000017945-FLGBHGLA_05820	COG1180	Pyruvate-formate_lyase-activating_enzyme	O	-	6.8e-66
GCA_000017945-FLGBHGLA_05830	COG0589	Nucleotide-binding_universal_stress_protein,__UspA_family	T	-	4.6e-30
GCA_000017945-FLGBHGLA_05840	-	-	-	-	-
GCA_000017945-FLGBHGLA_05850	COG0455	MinD-like_ATPase_FlhG/YlxH,_activator_of_the_FlhF-type_GTPase	DN	-	3.6e-20
GCA_000017945-FLGBHGLA_05860	COG1608	Isopentenyl_phosphate_kinase	I	-	6.9e-50
GCA_000017945-FLGBHGLA_05870	COG0683	ABC-type_branched-chain_amino_acid_transport_system,_periplasmic_component	E	-	1.8e-06
GCA_000017945-FLGBHGLA_05880	COG0423	Glycyl-tRNA_synthetase,_class_II	J	Aminoacyl-tRNA_synthetases	3.9e-173
GCA_000017945-FLGBHGLA_05890	-	-	-	-	-
GCA_000017945-FLGBHGLA_05900	-	-	-	-	-
GCA_000017945-FLGBHGLA_05910	COG0367	Asparagine_synthetase_B_(glutamine-hydrolyzing)	E	Asparagine_biosynthesis	3.2e-110
GCA_000017945-FLGBHGLA_05920	COG0043	3-polyprenyl-4-hydroxybenzoate_decarboxylase	H	Ubiquinone_biosynthesis	6.8e-176
GCA_000017945-FLGBHGLA_05930	COG0298	Hydrogenase_maturation_factor_HybG,_HypC/HupF_family	O	-	1.1e-22
GCA_000017945-FLGBHGLA_05940	COG0531	Serine_transporter_YbeC,_amino_acid:H+_symporter_family	E	-	5.5e-57
GCA_000017945-FLGBHGLA_05950	-	-	-	-	-
GCA_000017945-FLGBHGLA_05960	COG1761	DNA-directed_RNA_polymerase,_subunit_L/RPAC2	K	RNA_polymerase	4.3e-34
GCA_000017945-FLGBHGLA_05970	COG3286	Uncharacterized_conserved_protein,_DUF2067_domain	S	-	3.4e-55
GCA_000017945-FLGBHGLA_05980	COG1096	Exosome_complex_RNA-binding_protein_Csl4,_contains_S1_and_Zn-ribbon_domains	U	-	7.5e-46
GCA_000017945-FLGBHGLA_05990	COG0454	N-acetyltransferase,_GNAT_superfamily_(includes_histone_acetyltransferase_HPA2)	KR	-	5.6e-25
GCA_000017945-FLGBHGLA_06000	-	-	-	-	-
GCA_000017945-FLGBHGLA_06010	COG0031	Cysteine_synthase	E	Cysteine_biosynthesis	1.8e-99
GCA_000017945-FLGBHGLA_06020	COG1719	Predicted_hydrocarbon_binding_protein,_contains_4VR_domain	R	-	2e-21
GCA_000017945-FLGBHGLA_06030	COG1163	Ribosome-interacting_GTPase_RBG1	J	-	4.5e-144
GCA_000017945-FLGBHGLA_06040	COG0644	Dehydrogenase_(flavoprotein)	C	-	1.4e-20
GCA_000017945-FLGBHGLA_06050	-	-	-	-	-
GCA_000017945-FLGBHGLA_06060	COG0756	dUTP_pyrophosphatase_(dUTPase)	FV	Thymidylate_biosynthesis	5.4e-45
GCA_000017945-FLGBHGLA_06070	COG0020	Undecaprenyl_pyrophosphate_synthase	I	-	1.6e-92
GCA_000017945-FLGBHGLA_06080	COG1222	ATP-dependent_26S_proteasome_regulatory_subunit	O	-	1.4e-123
GCA_000017945-FLGBHGLA_06090	COG0185	Ribosomal_protein_S19	J	Ribosome_30S_subunit	4.4e-42
GCA_000017945-FLGBHGLA_06100	COG0091	Ribosomal_protein_L22	J	Ribosome_50S_subunit	1.2e-29
GCA_000017945-FLGBHGLA_06110	COG0092	Ribosomal_protein_S3	J	Ribosome_30S_subunit	7.2e-45
GCA_000017945-FLGBHGLA_06120	COG0255	Ribosomal_protein_L29	J	Ribosome_50S_subunit	5.9e-23
GCA_000017945-FLGBHGLA_06130	COG1588	RNase_P/RNase_MRP_subunit_p29	J	-	1.2e-25
GCA_000017945-FLGBHGLA_06140	-	-	-	-	-
GCA_000017945-FLGBHGLA_06150	-	-	-	-	-
GCA_000017945-FLGBHGLA_06160	COG2368	Aromatic_ring_hydroxylase	Q	-	3.7e-165
GCA_000017945-FLGBHGLA_06170	COG0044	Dihydroorotase_or_related_cyclic_amidohydrolase	F	Pyrimidine_biosynthesis	4.4e-85
GCA_000017945-FLGBHGLA_06180	COG1719	Predicted_hydrocarbon_binding_protein,_contains_4VR_domain	R	-	1.2e-07
GCA_000017945-FLGBHGLA_06190	COG2905	Signal-transduction_protein_containing_cAMP-binding,_CBS,_and_nucleotidyltransferase_domains	T	-	1.3e-34
GCA_000017945-FLGBHGLA_06200	-	-	-	-	-
GCA_000017945-FLGBHGLA_06210	COG0034	Glutamine_phosphoribosylpyrophosphate_amidotransferase	F	Purine_biosynthesis	4.5e-101
GCA_000017945-FLGBHGLA_06220	COG1145	Ferredoxin	C	-	1e-25
GCA_000017945-FLGBHGLA_06230	COG1709	Predicted_transcriptional_regulator,contains_XRE-type_HTH_domain	K	-	2e-68
GCA_000017945-FLGBHGLA_06240	COG1308	Transcription_factor_homologous_to_NACalpha-BTF3	K	-	5.1e-32
GCA_000017945-FLGBHGLA_06250	COG1236	RNA_processing_exonuclease,_beta-lactamase_fold,_Cft2_family	J	-	9e-110
GCA_000017945-FLGBHGLA_06260	-	-	-	-	-
GCA_000017945-FLGBHGLA_06270	COG2078	Predicted_RNA_modification_protein,_AMMECR1_domain	R	-	7.3e-67
GCA_000017945-FLGBHGLA_06280	COG0704	Phosphate_uptake_regulator_PhoU	P	-	4.9e-36
GCA_000017945-FLGBHGLA_06290	COG0059	Ketol-acid_reductoisomerase	EH	Isoleucine,_leucine,_valine_biosynthesis	3.7e-142
GCA_000017945-FLGBHGLA_06300	-	-	-	-	-
GCA_000017945-FLGBHGLA_06310	COG1269	Archaeal/vacuolar-type_H+-ATPase_subunit_I/STV1	C	A/V-type_ATP_synthase	1.2e-98
GCA_000017945-FLGBHGLA_06320	-	-	-	-	-
GCA_000017945-FLGBHGLA_06330	COG1586	S-adenosylmethionine_decarboxylase	E	-	2.9e-34
GCA_000017945-FLGBHGLA_06340	-	-	-	-	-
GCA_000017945-FLGBHGLA_06350	-	-	-	-	-
GCA_000017945-FLGBHGLA_06360	COG1824	Permease,_similar_to_cation_transporters	P	-	1e-69
GCA_000017945-FLGBHGLA_06370	COG1236	RNA_processing_exonuclease,_beta-lactamase_fold,_Cft2_family	J	-	8.7e-30
GCA_000017945-FLGBHGLA_06380	COG0638	20S_proteasome,_alpha_and_beta_subunits	O	-	4.5e-57
GCA_000017945-FLGBHGLA_06390	COG0492	Thioredoxin_reductase	O	-	9.5e-60
GCA_000017945-FLGBHGLA_06400	-	-	-	-	-
GCA_000017945-FLGBHGLA_06410	COG1041	tRNA_G10_N-methylase_Trm11	J	tRNA_modification	3.7e-44
GCA_000017945-FLGBHGLA_06420	COG0655	Multimeric_flavodoxin_WrbA,_includes_NAD(P)H:quinone_oxidoreductase	C	-	6.6e-41
GCA_000017945-FLGBHGLA_06430	COG0548	N-acetylglutamate_kinase	E	Arginine_biosynthesis	8.6e-59
GCA_000017945-FLGBHGLA_06440	COG0677	UDP-N-acetyl-D-mannosaminuronate_dehydrogenase	M	-	1.6e-135
GCA_000017945-FLGBHGLA_06450	COG0381	UDP-N-acetylglucosamine_2-epimerase	M	-	2.8e-106
GCA_000017945-FLGBHGLA_06460	-	-	-	-	-
GCA_000017945-FLGBHGLA_06470	-	-	-	-	-
GCA_000017945-FLGBHGLA_06480	-	-	-	-	-
GCA_000017945-FLGBHGLA_06490	COG4641	Spore_maturation_protein_CgeB	D	-	3.7e-10
GCA_000017945-FLGBHGLA_06500	-	-	-	-	-
GCA_000017945-FLGBHGLA_06510	COG1063	Threonine_dehydrogenase_or_related_Zn-dependent_dehydrogenase	ER	Non-phosphorylated_Entner-Doudoroff_pathway	1.7e-55
GCA_000017945-FLGBHGLA_06520	-	-	-	-	-
GCA_000017945-FLGBHGLA_06530	COG4001	Uncharacterized_conserved_protein	S	-	2.1e-83
GCA_000017945-FLGBHGLA_06540	COG1899	Deoxyhypusine_synthase	OJ	-	5.6e-103
GCA_000017945-FLGBHGLA_06550	COG0302	GTP_cyclohydrolase_I	H	Folate_biosynthesis	5.6e-59
GCA_000017945-FLGBHGLA_06560	COG4262	Predicted_spermidine_synthase_with_an_N-terminal_membrane_domain	R	-	3.8e-69
GCA_000017945-FLGBHGLA_06570	COG0639	Diadenosine_tetraphosphatase_ApaH/serine/threonine_protein_phosphatase,_PP2A_family	T	-	6.2e-31
GCA_000017945-FLGBHGLA_06580	COG0137	Argininosuccinate_synthase	E	Arginine_biosynthesis	6.2e-169
GCA_000017945-FLGBHGLA_06590	COG5551	CRISPR/Cas_system_endoribonuclease_Cas6,_RAMP_superfamily	V	CRISPR-Cas_system	2.6e-17
GCA_000017945-FLGBHGLA_06600	COG0519	GMP_synthase,_PP-ATPase_domain/subunit	F	Purine_biosynthesis	5.1e-115
GCA_000017945-FLGBHGLA_06610	-	-	-	-	-
GCA_000017945-FLGBHGLA_06620	-	-	-	-	-
GCA_000017945-FLGBHGLA_06630	COG4034	Uncharacterized_conserved_protein,_DUF1152_domain	S	-	1.5e-109
GCA_000017945-FLGBHGLA_06640	COG0379	Quinolinate_synthase	H	NAD_biosynthesis	2.5e-102
GCA_000017945-FLGBHGLA_06650	COG2888	Predicted_RNA-binding_protein_involved_in_translation,_contains__Zn-ribbon_domain,_DUF1610_family	R	-	1.4e-11
GCA_000017945-FLGBHGLA_06660	-	-	-	-	-
GCA_000017945-FLGBHGLA_06670	-	-	-	-	-
GCA_000017945-FLGBHGLA_06680	COG0119	Isopropylmalate/homocitrate/citramalate_synthases	E	Isoleucine,_leucine,_valine_biosynthesis	7.2e-117
GCA_000017945-FLGBHGLA_06690	COG0455	MinD-like_ATPase_FlhG/YlxH,_activator_of_the_FlhF-type_GTPase	DN	-	2e-25
GCA_000017945-FLGBHGLA_06700	COG3273	Uncharacterized_protein,_contains_PhoU_and_TrkA_C_domains	R	-	3e-30
GCA_000017945-FLGBHGLA_06710	COG0517	CBS_domain	T	-	1.9e-49
GCA_000017945-FLGBHGLA_06720	COG0647	Ribonucleotide_monophosphatase_NagD,_HAD_superfamily	F	-	4.8e-69
GCA_000017945-FLGBHGLA_06730	-	-	-	-	-
GCA_000017945-FLGBHGLA_06740	COG0085	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	K	RNA_polymerase	3.2e-201
GCA_000017945-FLGBHGLA_06750	COG2012	DNA-directed_RNA_polymerase,_subunit_H,_RpoH/RPB5	K	RNA_polymerase	8.8e-28
GCA_000017945-FLGBHGLA_06760	COG1721	Uncharacterized_conserved_protein,_DUF58_family,_contains_vWF_domain	S	-	1e-11
GCA_000017945-FLGBHGLA_06770	-	-	-	-	-
GCA_000017945-FLGBHGLA_06780	COG2905	Signal-transduction_protein_containing_cAMP-binding,_CBS,_and_nucleotidyltransferase_domains	T	-	4.5e-29
GCA_000017945-FLGBHGLA_06790	-	-	-	-	-
GCA_000017945-FLGBHGLA_06800	COG1798	Diphthamide_biosynthesis_methyltransferase	J	-	3.7e-64
GCA_000017945-FLGBHGLA_06810	COG3609	Transcriptional_regulator,_contains_Arc/MetJ-type_RHH_(ribbon-helix-helix)_DNA-binding_domain	K	-	5.9e-15
GCA_000017945-FLGBHGLA_06820	COG0345	Pyrroline-5-carboxylate_reductase	E	Proline_biosynthesis	1.3e-48
GCA_000017945-FLGBHGLA_06830	-	-	-	-	-
GCA_000017945-FLGBHGLA_06840	COG1439	rRNA_maturation_endonuclease_Nob1	J	-	2.5e-40
GCA_000017945-FLGBHGLA_06850	COG1437	Adenylate_cyclase_class_IV,_CYTH_domain_(includes_archaeal_enzymes_of_unknown_function)	TR	-	7.7e-13
GCA_000017945-FLGBHGLA_06860	-	-	-	-	-
GCA_000017945-FLGBHGLA_06870	COG0624	Acetylornithine_deacetylase/Succinyl-diaminopimelate_desuccinylase_or_related_deacylase	E	Arginine_biosynthesis	1.4e-56
GCA_000017945-FLGBHGLA_06880	COG4006	CRISPR-Cas_system-associated_protein_Csm6,_contains_CARF_domain	V	CRISPR-Cas_system	9e-56
GCA_000017945-FLGBHGLA_06890	-	-	-	-	-
GCA_000017945-FLGBHGLA_06900	-	-	-	-	-
GCA_000017945-FLGBHGLA_06910	-	-	-	-	-
GCA_000017945-FLGBHGLA_06920	-	-	-	-	-
GCA_000017945-FLGBHGLA_06930	COG3430	Archaeal_flagellin_(archaellin),_FlaG/FlaF_family	N	-	4.4e-07
GCA_000017945-FLGBHGLA_06940	COG1251	NAD(P)H-nitrite_reductase,_large_subunit	C	-	4.9e-78
GCA_000017945-FLGBHGLA_06950	COG2427	Uncharacterized_conserved_protein_YjgD,_DUF1641_family	S	-	5.4e-26
GCA_000017945-FLGBHGLA_06960	COG1252	NADH_dehydrogenase,_FAD-containing_subunit	C	-	1.3e-49
GCA_000017945-FLGBHGLA_06970	COG0068	Hydrogenase_maturation_factor_HypF_(carbamoyltransferase)	O	-	1.7e-239
GCA_000017945-FLGBHGLA_06980	COG1718	Serine/threonine-protein_kinase_RIO1	T	-	1.7e-68
GCA_000017945-FLGBHGLA_06990	COG0361	Translation_initiation_factor_IF-1	J	Translation_factors	3.5e-24
GCA_000017945-FLGBHGLA_07000	COG2125	Ribosomal_protein_S6E_(S10)	J	Archaeal_ribosomal_proteins	2.5e-50
GCA_000017945-FLGBHGLA_07010	COG1951	Tartrate_dehydratase_alpha_subunit/Fumarate_hydratase_class_I,_N-terminal_domain	C	TCA_cycle	7.6e-139
GCA_000017945-FLGBHGLA_07020	COG1156	Archaeal/vacuolar-type_H+-ATPase_subunit_B/Vma2	C	A/V-type_ATP_synthase	1.4e-237
GCA_000017945-FLGBHGLA_07030	COG1394	Archaeal/vacuolar-type_H+-ATPase_subunit_D/Vma8	C	A/V-type_ATP_synthase	1.5e-55
GCA_000017945-FLGBHGLA_07040	-	-	-	-	-
GCA_000017945-FLGBHGLA_07050	COG0636	FoF1-type_ATP_synthase,_membrane_subunit_c/Archaeal/vacuolar-type_H+-ATPase,_subunit_K	C	FoF1-type_ATP_synthase	9.6e-14
GCA_000017945-FLGBHGLA_07060	COG0001	Glutamate-1-semialdehyde_aminotransferase	H	Heme_biosynthesis	2.6e-134
GCA_000017945-FLGBHGLA_07070	COG0181	Porphobilinogen_deaminase	H	Heme_biosynthesis	1.3e-86
GCA_000017945-FLGBHGLA_07080	COG2411	Predicted_RNA-binding_protein,_contains_PUA-like_ASCH_domain	R	-	9.5e-41
GCA_000017945-FLGBHGLA_07090	COG1586	S-adenosylmethionine_decarboxylase	E	-	1.4e-37
GCA_000017945-FLGBHGLA_07100	COG1427	Chorismate_dehydratase_(menaquinone_biosynthesis,_futalosine_pathway)	H	Menaquinone_biosynthesis	3e-23
GCA_000017945-FLGBHGLA_07110	-	-	-	-	-
GCA_000017945-FLGBHGLA_07120	COG1402	Creatinine_amidohydrolase/Fe(II)-dependent_FAPy_formamide_hydrolase_(riboflavin_and_F420_biosynthesis)	H	Riboflavin/FAD_biosynthesis	3.6e-61
GCA_000017945-FLGBHGLA_07130	COG0417	DNA_polymerase_B_elongation_subunit	L	-	1.6e-203
GCA_000017945-FLGBHGLA_07140	COG0258	5'-3'_exonuclease_Xni/ExoIX_(flap_endonuclease)	L	-	1.5e-27
