accession	KO_hmm	e_value	bit_score	bit_score_cutoff	Definition	confidence
GCA_000008085-CALJACFG_05330	K03053	7.9e-30	99.4	96.93	DNA-directed_RNA_polymerase_subunit_H_[EC:2.7.7.6]	high_score
GCA_000008085-CALJACFG_05340	K02998	4.7e-43	144.4	210.97	small_subunit_ribosomal_protein_SAe	-
GCA_000008085-CALJACFG_05350	K10747	4e-135	449.1	330.10	DNA_ligase_1_[EC:6.5.1.1_6.5.1.6_6.5.1.7]	high_score
GCA_000008085-CALJACFG_05360	-	-	-	-	-	-
GCA_000008085-CALJACFG_05370	-	-	-	-	-	-
GCA_000008085-CALJACFG_05380	K01439	2.2e-67	225.2	255.10	succinyl-diaminopimelate_desuccinylase_[EC:3.5.1.18]	-
GCA_000008085-CALJACFG_05390	K06915	4.8e-40	134.9	126.90	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_05400	K02435	1.7e-10	38.5	18.70	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_C_[EC:6.3.5.6_6.3.5.7]	high_score
GCA_000008085-CALJACFG_05410	-	-	-	-	-	-
GCA_000008085-CALJACFG_05420	K01741	1.8e-49	165.7	132.30	DNA-(apurinic_or_apyrimidinic_site)_lyase_[EC:4.2.99.18]	high_score
GCA_000008085-CALJACFG_05430	K04798	5.8e-08	29.7	51.90	prefoldin_beta_subunit	-
GCA_000008085-CALJACFG_05440	-	-	-	-	-	-
GCA_000008085-CALJACFG_05450	K03264	7.9e-19	64.6	64.27	translation_initiation_factor_6	high_score
GCA_000008085-CALJACFG_05460	K02503	2e-37	124.9	78.30	histidine_triad_(HIT)_family_protein	high_score
GCA_000008085-CALJACFG_05470	-	-	-	-	-	-
GCA_000008085-CALJACFG_05480	-	-	-	-	-	-
GCA_000008085-CALJACFG_05490	K02728	2.3e-57	191.2	272.70	20S_proteasome_subunit_alpha_3_[EC:3.4.25.1]	-
GCA_000008085-CALJACFG_05500	K21947	2.3e-82	273.4	280.03	tRNA-5-methyluridine54_2-sulfurtransferase_[EC:2.8.1.15]	-
GCA_000008085-CALJACFG_05510	K16318	1.3e-90	301.0	262.07	tRNA_(guanine6-N2)-methyltransferase_[EC:2.1.1.256]	high_score
GCA_000008085-CALJACFG_05520	K00390	6.9e-25	84.9	166.83	phosphoadenosine_phosphosulfate_reductase_[EC:1.8.4.8_1.8.4.10]	-
GCA_000008085-CALJACFG_05530	K14574	2e-40	135.8	60.33	ribosome_maturation_protein_SDO1	high_score
GCA_000008085-CALJACFG_05540	K07557	1.1e-44	150.0	310.50	archaeosine_synthase_[EC:2.6.1.97]	-
GCA_000008085-CALJACFG_05550	K06915	6.9e-52	174.0	126.90	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_05560	K02319	7.3e-67	223.2	548.60	DNA_polymerase,_archaea_type_[EC:2.7.7.7]	-
GCA_000008085-CALJACFG_05570	K07038	1.3e-16	58.0	24.60	inner_membrane_protein	high_score
GCA_000008085-CALJACFG_05580	K03442	9.3e-41	136.9	220.17	small_conductance_mechanosensitive_channel	-
GCA_000008085-CALJACFG_05590	K02912	1e-30	103.4	49.17	large_subunit_ribosomal_protein_L32e	high_score
GCA_000008085-CALJACFG_05600	K07164	4.4e-08	30.0	63.67	uncharacterized_protein	-
GCA_000008085-CALJACFG_05610	-	-	-	-	-	-
GCA_000008085-CALJACFG_05620	-	-	-	-	-	-
GCA_000008085-CALJACFG_05630	-	-	-	-	-	-
GCA_000008085-CALJACFG_05640	K07745	2.8e-55	183.6	125.47	transcriptional_regulator	high_score
GCA_000008085-CALJACFG_05650	K09759	9.3e-143	473.0	488.00	nondiscriminating_aspartyl-tRNA_synthetase_[EC:6.1.1.23]	-
GCA_000008085-CALJACFG_05660	K22446	9.7e-138	455.1	320.73	tRNA_(cytosine49-C5)-methyltransferase_[EC:2.1.1.-]	high_score
GCA_000008085-CALJACFG_05670	K11407	6e-43	144.3	524.13	histone_deacetylase_6_[EC:3.5.1.98]	-
GCA_000008085-CALJACFG_05680	K04802	1e-43	146.4	65.87	proliferating_cell_nuclear_antigen	high_score
GCA_000008085-CALJACFG_05690	-	-	-	-	-	-
GCA_000008085-CALJACFG_05700	K02601	1.9e-15	54.4	90.20	transcription_termination/antitermination_protein_NusG	-
GCA_000008085-CALJACFG_05710	K07725	1.7e-11	41.2	73.63	CRISPR-associated_protein_Csa3	-
GCA_000008085-CALJACFG_05720	K03234	2.3e-221	733.8	849.30	elongation_factor_2	-
GCA_000008085-CALJACFG_05730	K03166	9.9e-129	426.2	340.40	DNA_topoisomerase_VI_subunit_A_[EC:5.6.2.2]	high_score
GCA_000008085-CALJACFG_05740	K18845	2.8e-26	89.3	141.13	16S_rRNA_(guanine(1405)-N(7))-methyltransferase_[EC:2.1.1.179]	-
GCA_000008085-CALJACFG_05750	K07765	1.4e-17	60.9	81.33	S2P_endopeptidase_[EC:3.4.24.85]	-
GCA_000008085-CALJACFG_05760	K02863	2.3e-31	106.3	96.73	large_subunit_ribosomal_protein_L1	high_score
GCA_000008085-CALJACFG_05770	K02974	7.4e-18	61.4	40.67	small_subunit_ribosomal_protein_S24e	high_score
GCA_000008085-CALJACFG_05780	K01872	3.7e-43	145.0	179.77	alanyl-tRNA_synthetase_[EC:6.1.1.7]	-
GCA_000008085-CALJACFG_05790	K07464	9.3e-31	104.5	71.13	CRISPR-associated_exonuclease_Cas4_[EC:3.1.12.1]	high_score
GCA_000008085-CALJACFG_05800	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00010	K03243	3.7e-236	783.2	189.17	translation_initiation_factor_5B	high_score
GCA_000017945-FLGBHGLA_00020	K00104	3.1e-107	356.1	481.33	glycolate_oxidase_[EC:1.1.3.15]	-
GCA_000017945-FLGBHGLA_00030	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00040	K01170	8.1e-21	71.4	80.47	tRNA-intron_endonuclease,_archaea_type_[EC:4.6.1.16]	-
GCA_000017945-FLGBHGLA_00050	K04069	1.4e-21	74.1	102.70	pyruvate_formate_lyase_activating_enzyme_[EC:1.97.1.4]	-
GCA_000017945-FLGBHGLA_00060	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00070	K03168	1.1e-136	454.2	431.17	DNA_topoisomerase_I_[EC:5.6.2.1]	high_score
GCA_000017945-FLGBHGLA_00080	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00090	K07041	3.5e-250	828.5	389.83	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_00100	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00110	K03638	2.1e-41	138.2	125.50	molybdopterin_adenylyltransferase_[EC:2.7.7.75]	high_score
GCA_000017945-FLGBHGLA_00120	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00130	K02434	3.5e-162	537.6	235.73	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_B_[EC:6.3.5.6_6.3.5.7]	high_score
GCA_000017945-FLGBHGLA_00140	K07725	3.9e-12	43.3	73.63	CRISPR-associated_protein_Csa3	-
GCA_000017945-FLGBHGLA_00150	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00160	K07151	2.4e-63	211.9	206.27	dolichyl-diphosphooligosaccharide---protein_glycosyltransferase_[EC:2.4.99.18]	high_score
GCA_000017945-FLGBHGLA_00170	K13276	1e-14	50.0	629.93	bacillopeptidase_F_[EC:3.4.21.-]	-
GCA_000017945-FLGBHGLA_00180	K01735	4.6e-99	328.7	298.70	3-dehydroquinate_synthase_[EC:4.2.3.4]	high_score
GCA_000017945-FLGBHGLA_00190	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00200	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00210	K00763	8.6e-74	246.0	93.47	nicotinate_phosphoribosyltransferase_[EC:6.3.4.21]	high_score
GCA_000017945-FLGBHGLA_00220	K07575	3.1e-28	95.8	88.43	PUA_domain_protein	high_score
GCA_000017945-FLGBHGLA_00230	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00240	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00250	K03738	1.2e-166	553.0	189.43	aldehyde:ferredoxin_oxidoreductase_[EC:1.2.7.5]	high_score
GCA_000017945-FLGBHGLA_00260	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00270	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00280	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00290	K01523	1.6e-28	96.3	109.93	phosphoribosyl-ATP_pyrophosphohydrolase_[EC:3.6.1.31]	-
GCA_000017945-FLGBHGLA_00300	K02501	8e-62	205.7	206.43	imidazole_glycerol-phosphate_synthase_subunit_HisH_[EC:4.3.2.10]	-
GCA_000017945-FLGBHGLA_00310	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00320	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00330	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00340	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00350	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00360	K21636	4.7e-155	514.6	123.87	ribonucleoside-triphosphate_reductase_(formate)_[EC:1.1.98.6]	high_score
GCA_000017945-FLGBHGLA_00370	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00380	K06174	3.1e-233	772.8	158.93	ATP-binding_cassette,_sub-family_E,_member_1	high_score
GCA_000017945-FLGBHGLA_00390	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00400	K01251	3.6e-166	550.1	66.47	adenosylhomocysteinase_[EC:3.3.1.1]	high_score
GCA_000017945-FLGBHGLA_00410	K00852	2.5e-45	152.4	221.17	ribokinase_[EC:2.7.1.15]	-
GCA_000017945-FLGBHGLA_00420	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00430	K02823	1.5e-46	156.1	209.57	dihydroorotate_dehydrogenase_electron_transfer_subunit	-
GCA_000017945-FLGBHGLA_00440	K00610	6.6e-59	194.8	134.93	aspartate_carbamoyltransferase_regulatory_subunit	high_score
GCA_000017945-FLGBHGLA_00450	K00609	1.7e-93	310.0	217.93	aspartate_carbamoyltransferase_catalytic_subunit_[EC:2.1.3.2]	high_score
GCA_000017945-FLGBHGLA_00460	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00470	K07158	1.8e-18	64.0	59.77	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_00480	K02195	7.1e-46	153.4	92.80	heme_exporter_protein_C	high_score
GCA_000017945-FLGBHGLA_00490	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00500	K09717	7.7e-09	32.1	101.83	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_00510	K05966	3.6e-24	82.6	210.03	triphosphoribosyl-dephospho-CoA_synthase_[EC:2.4.2.52]	-
GCA_000017945-FLGBHGLA_00520	K06969	9.4e-86	285.5	222.07	23S_rRNA_(cytosine1962-C5)-methyltransferase_[EC:2.1.1.191]	high_score
GCA_000017945-FLGBHGLA_00530	K17884	2.5e-63	210.2	175.40	archaetidylinositol_phosphate_synthase_[EC:2.7.8.39]	high_score
GCA_000017945-FLGBHGLA_00540	K10844	1.3e-47	159.8	417.77	DNA_excision_repair_protein_ERCC-2_[EC:3.6.4.12]	-
GCA_000017945-FLGBHGLA_00550	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00560	K09149	1.6e-47	158.8	111.30	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_00570	K03442	4.6e-56	187.0	220.17	small_conductance_mechanosensitive_channel	-
GCA_000017945-FLGBHGLA_00580	K05827	9.4e-108	356.4	287.93	[lysine-biosynthesis-protein_LysW]---L-2-aminoadipate_ligase_[EC:6.3.2.43]	high_score
GCA_000017945-FLGBHGLA_00590	K03775	1.3e-37	126.0	138.73	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_SlyD_[EC:5.2.1.8]	-
GCA_000017945-FLGBHGLA_00600	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00610	K07096	2e-22	77.0	77.90	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_00620	K02316	2.4e-16	56.9	55.30	DNA_primase_[EC:2.7.7.101]	high_score
GCA_000017945-FLGBHGLA_00630	K02319	2e-251	833.5	548.60	DNA_polymerase,_archaea_type_[EC:2.7.7.7]	high_score
GCA_000017945-FLGBHGLA_00640	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00650	K08482	1.2e-06	24.5	115.43	circadian_clock_protein_KaiC	-
GCA_000017945-FLGBHGLA_00660	K02969	1.4e-26	90.1	117.63	small_subunit_ribosomal_protein_S20e	-
GCA_000017945-FLGBHGLA_00670	K03885	1.5e-42	142.9	223.60	NADH_dehydrogenase_[EC:1.6.99.3]	-
GCA_000017945-FLGBHGLA_00680	K22901	3.6e-121	400.8	367.87	tRNA_(cytosine40_48-C5)-methyltransferase_[EC:2.1.1.-]	high_score
GCA_000017945-FLGBHGLA_00690	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00700	K07090	6.1e-36	121.7	34.27	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_00710	K14564	5.7e-105	349.0	491.73	nucleolar_protein_56	-
GCA_000017945-FLGBHGLA_00720	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00730	K13807	9.3e-35	116.8	405.27	serine/threonine-protein_phosphatase_with_EF-hands_[EC:3.1.3.16]	-
GCA_000017945-FLGBHGLA_00740	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00750	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00760	K07722	4.8e-13	46.4	48.20	CopG_family_transcriptional_regulator,_nickel-responsive_regulator	-
GCA_000017945-FLGBHGLA_00770	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00780	K03330	6.5e-266	880.6	299.60	glutamyl-tRNA(Gln)_amidotransferase_subunit_E_[EC:6.3.5.7]	high_score
GCA_000017945-FLGBHGLA_00790	K18882	2.2e-82	274.2	96.00	DNA_primase_large_subunit	high_score
GCA_000017945-FLGBHGLA_00800	K03476	5.4e-15	52.3	152.83	L-ascorbate_6-phosphate_lactonase_[EC:3.1.1.-]	-
GCA_000017945-FLGBHGLA_00810	K14673	4.1e-14	49.1	122.30	putative_monooxygenase	-
GCA_000017945-FLGBHGLA_00820	K05637	1.7e-06	21.9	1326.73	laminin,_alpha_1/2	-
GCA_000017945-FLGBHGLA_00830	K09735	5.5e-39	130.0	78.63	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_00840	K03050	8e-21	70.6	70.43	DNA-directed_RNA_polymerase_subunit_E"_[EC:2.7.7.6]	high_score
GCA_000017945-FLGBHGLA_00850	K03049	4e-67	222.3	177.87	DNA-directed_RNA_polymerase_subunit_E'_[EC:2.7.7.6]	high_score
GCA_000017945-FLGBHGLA_00860	K01902	8.8e-133	438.7	328.90	succinyl-CoA_synthetase_alpha_subunit_[EC:6.2.1.5]	high_score
GCA_000017945-FLGBHGLA_00870	K01903	3.1e-144	477.5	464.23	succinyl-CoA_synthetase_beta_subunit_[EC:6.2.1.5]	high_score
GCA_000017945-FLGBHGLA_00880	K04797	3.5e-16	56.5	59.13	prefoldin_alpha_subunit	-
GCA_000017945-FLGBHGLA_00890	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00900	K02302	1.1e-76	255.7	383.73	uroporphyrin-III_C-methyltransferase_/_precorrin-2_dehydrogenase_/_sirohydrochlorin_ferrochelatase_[EC:2.1.1.107_1.3.1.76_4.99.1.4]	-
GCA_000017945-FLGBHGLA_00910	K13542	1.2e-35	120.2	370.37	uroporphyrinogen_III_methyltransferase_/_synthase_[EC:2.1.1.107_4.2.1.75]	-
GCA_000017945-FLGBHGLA_00920	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_00930	K09006	3.2e-70	232.8	191.33	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_00940	K02194	5.8e-19	65.4	67.50	heme_exporter_protein_B	-
GCA_000017945-FLGBHGLA_00950	K02197	3.2e-08	30.5	36.13	cytochrome_c-type_biogenesis_protein_CcmE	-
GCA_000017945-FLGBHGLA_00960	K09700	2.7e-09	33.7	83.13	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_00970	K22447	3.4e-223	739.0	589.77	archaeal_chaperonin	high_score
GCA_000017945-FLGBHGLA_00980	K09116	1e-32	110.7	103.20	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_00990	K16150	2.2e-14	50.3	436.03	glycogen_synthase_[EC:2.4.1.11]	-
GCA_000017945-FLGBHGLA_01000	K07725	1.6e-10	38.0	73.63	CRISPR-associated_protein_Csa3	-
GCA_000017945-FLGBHGLA_01010	K01271	4.9e-84	279.4	379.20	Xaa-Pro_dipeptidase_[EC:3.4.13.9]	-
GCA_000017945-FLGBHGLA_01020	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01030	K08264	9e-28	94.4	337.13	heterodisulfide_reductase_subunit_D_[EC:1.8.98.1]	-
GCA_000017945-FLGBHGLA_01040	K02978	8e-18	61.2	33.67	small_subunit_ribosomal_protein_S27e	high_score
GCA_000017945-FLGBHGLA_01050	K22465	1.3e-165	548.3	692.93	5-hydroxybenzimidazole_synthase_[EC:4.1.99.23]	-
GCA_000017945-FLGBHGLA_01060	K09003	4.8e-125	414.3	119.30	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_01070	K02036	3.1e-110	364.4	243.07	phosphate_transport_system_ATP-binding_protein_[EC:7.3.2.1]	high_score
GCA_000017945-FLGBHGLA_01080	K02038	1.7e-55	184.9	231.70	phosphate_transport_system_permease_protein	-
GCA_000017945-FLGBHGLA_01090	K02037	1.6e-62	208.1	223.27	phosphate_transport_system_permease_protein	-
GCA_000017945-FLGBHGLA_01100	K06402	9.2e-18	61.4	106.43	stage_IV_sporulation_protein_FB_[EC:3.4.24.-]	-
GCA_000017945-FLGBHGLA_01110	K06878	1.5e-32	109.2	105.33	tRNA-binding_protein	high_score
GCA_000017945-FLGBHGLA_01120	K04768	6.7e-75	249.5	351.83	acetoin_utilization_protein_AcuC	-
GCA_000017945-FLGBHGLA_01130	K01151	3e-11	40.1	104.47	deoxyribonuclease_IV_[EC:3.1.21.2]	-
GCA_000017945-FLGBHGLA_01140	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01150	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01160	K21029	6.6e-25	85.1	293.77	molybdopterin-synthase_adenylyltransferase_[EC:2.7.7.80]	-
GCA_000017945-FLGBHGLA_01170	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01180	K09820	1.1e-76	254.3	328.90	manganese/iron_transport_system_ATP-binding_protein	-
GCA_000017945-FLGBHGLA_01190	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01200	K01170	4.2e-49	163.6	80.47	tRNA-intron_endonuclease,_archaea_type_[EC:4.6.1.16]	high_score
GCA_000017945-FLGBHGLA_01210	K07220	1.8e-08	31.4	50.53	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_01220	K03718	2.6e-39	131.1	137.20	Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnC_and_gidA	-
GCA_000017945-FLGBHGLA_01230	K07008	1.7e-08	31.0	246.70	gamma-glutamyl_hercynylcysteine_S-oxide_hydrolase_[EC:3.5.1.118]	-
GCA_000017945-FLGBHGLA_01240	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01250	K07059	5.3e-33	111.4	87.87	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_01260	K09010	9.8e-171	566.3	427.63	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_01270	K02533	8.5e-40	133.9	102.27	tRNA/rRNA_methyltransferase_[EC:2.1.1.-]	high_score
GCA_000017945-FLGBHGLA_01280	K05595	7.8e-46	153.0	53.40	multiple_antibiotic_resistance_protein	high_score
GCA_000017945-FLGBHGLA_01290	K06957	1.6e-183	608.8	464.27	tRNA(Met)_cytidine_acetyltransferase_[EC:2.3.1.193]	high_score
GCA_000017945-FLGBHGLA_01300	K03424	4e-43	144.7	84.50	TatD_DNase_family_protein_[EC:3.1.21.-]	high_score
GCA_000017945-FLGBHGLA_01310	K07023	3.7e-16	56.6	74.83	putative_hydrolases_of_HD_superfamily	-
GCA_000017945-FLGBHGLA_01320	K19954	3.4e-123	408.1	455.23	alcohol_dehydrogenase_[EC:1.1.1.-]	-
GCA_000017945-FLGBHGLA_01330	K00390	1.2e-26	90.7	166.83	phosphoadenosine_phosphosulfate_reductase_[EC:1.8.4.8_1.8.4.10]	-
GCA_000017945-FLGBHGLA_01340	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01350	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01360	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01370	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01380	K21029	2.8e-31	105.9	293.77	molybdopterin-synthase_adenylyltransferase_[EC:2.7.7.80]	-
GCA_000017945-FLGBHGLA_01390	K01999	1.2e-58	196.6	151.23	branched-chain_amino_acid_transport_system_substrate-binding_protein	high_score
GCA_000017945-FLGBHGLA_01400	K01999	1.3e-56	189.9	151.23	branched-chain_amino_acid_transport_system_substrate-binding_protein	high_score
GCA_000017945-FLGBHGLA_01410	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01420	K07065	3.6e-08	30.5	66.03	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_01430	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01440	K06149	1.9e-15	54.7	121.73	universal_stress_protein_A	-
GCA_000017945-FLGBHGLA_01450	K12646	1.6e-29	99.4	860.70	ATP-dependent_RNA_helicase_DDX58_[EC:3.6.4.13]	-
GCA_000017945-FLGBHGLA_01460	K09695	1.5e-98	326.6	352.50	lipooligosaccharide_transport_system_ATP-binding_protein	-
GCA_000017945-FLGBHGLA_01470	K09694	3.9e-23	78.9	170.43	lipooligosaccharide_transport_system_permease_protein	-
GCA_000017945-FLGBHGLA_01480	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01490	K06131	3.3e-06	23.3	248.93	cardiolipin_synthase_A/B_[EC:2.7.8.-]	-
GCA_000017945-FLGBHGLA_01500	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01510	K01869	1.9e-122	407.2	370.53	leucyl-tRNA_synthetase_[EC:6.1.1.4]	high_score
GCA_000017945-FLGBHGLA_01520	K03055	1.4e-27	92.4	87.77	DNA-directed_RNA_polymerase_subunit_K_[EC:2.7.7.6]	high_score
GCA_000017945-FLGBHGLA_01530	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01540	K13280	1.4e-30	103.4	59.43	signal_peptidase_I_[EC:3.4.21.89]	high_score
GCA_000017945-FLGBHGLA_01550	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01560	K08681	1e-67	224.4	86.93	5'-phosphate_synthase_pdxT_subunit_[EC:4.3.3.6]	high_score
GCA_000017945-FLGBHGLA_01570	K06215	5.9e-137	452.5	83.63	pyridoxal_5'-phosphate_synthase_pdxS_subunit_[EC:4.3.3.6]	high_score
GCA_000017945-FLGBHGLA_01580	K04796	1.2e-27	92.2	77.30	small_nuclear_ribonucleoprotein	high_score
GCA_000017945-FLGBHGLA_01590	K00789	1.8e-18	64.1	22.70	S-adenosylmethionine_synthetase_[EC:2.5.1.6]	high_score
GCA_000017945-FLGBHGLA_01600	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01610	K00564	1.8e-45	152.7	127.40	16S_rRNA_(guanine1207-N2)-methyltransferase_[EC:2.1.1.172]	high_score
GCA_000017945-FLGBHGLA_01620	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01630	K01990	2.5e-48	162.1	225.27	ABC-2_type_transport_system_ATP-binding_protein	-
GCA_000017945-FLGBHGLA_01640	K07219	2.1e-150	499.0	505.23	putative_molybdopterin_biosynthesis_protein	-
GCA_000017945-FLGBHGLA_01650	K05685	6e-93	309.2	458.33	macrolide_transport_system_ATP-binding/permease_protein_[EC:3.6.3.-]	-
GCA_000017945-FLGBHGLA_01660	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01670	K01945	2.6e-100	333.1	120.73	phosphoribosylamine---glycine_ligase_[EC:6.3.4.13]	high_score
GCA_000017945-FLGBHGLA_01680	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01690	K14538	1.3e-45	153.3	346.23	nuclear_GTP-binding_protein	-
GCA_000017945-FLGBHGLA_01700	K05844	2.7e-48	161.6	294.53	ribosomal_protein_S6--L-glutamate_ligase_[EC:6.3.2.-]	-
GCA_000017945-FLGBHGLA_01710	K02596	5.8e-08	29.9	92.80	nitrogen_fixation_protein_NifX	-
GCA_000017945-FLGBHGLA_01720	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01730	K00820	2.6e-179	594.6	173.63	glutamine---fructose-6-phosphate_transaminase_(isomerizing)_[EC:2.6.1.16]	high_score
GCA_000017945-FLGBHGLA_01740	K03616	2e-12	44.3	63.77	Na+-translocating_ferredoxin:NAD+_oxidoreductase_subunit_B_[EC:7.2.1.2]	-
GCA_000017945-FLGBHGLA_01750	K00171	2.2e-11	40.4	93.63	pyruvate_ferredoxin_oxidoreductase_delta_subunit_[EC:1.2.7.1]	-
GCA_000017945-FLGBHGLA_01760	K03622	2.2e-36	120.8	60.43	archaea-specific_DNA-binding_protein	high_score
GCA_000017945-FLGBHGLA_01770	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01780	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01790	K01814	1.9e-52	175.4	165.70	phosphoribosylformimino-5-aminoimidazole_carboxamide_ribotide_isomerase_[EC:5.3.1.16]	high_score
GCA_000017945-FLGBHGLA_01800	K08851	7.7e-52	172.8	195.87	TP53_regulating_kinase_and_related_kinases_[EC:2.7.11.1]	-
GCA_000017945-FLGBHGLA_01810	K01519	3.2e-44	147.7	162.97	inosine_triphosphate_pyrophosphatase_[EC:3.6.1.-]	-
GCA_000017945-FLGBHGLA_01820	K02964	1.3e-36	122.6	158.97	small_subunit_ribosomal_protein_S18e	-
GCA_000017945-FLGBHGLA_01830	K02997	6.6e-47	156.5	170.33	small_subunit_ribosomal_protein_S9e	-
GCA_000017945-FLGBHGLA_01840	K02955	2.1e-57	190.0	212.63	small_subunit_ribosomal_protein_S14e	-
GCA_000017945-FLGBHGLA_01850	K03047	2e-76	254.0	241.33	DNA-directed_RNA_polymerase_subunit_D_[EC:2.7.7.6]	high_score
GCA_000017945-FLGBHGLA_01860	K02883	3.6e-17	59.6	33.83	large_subunit_ribosomal_protein_L18e	high_score
GCA_000017945-FLGBHGLA_01870	K02872	1.1e-29	100.3	139.80	large_subunit_ribosomal_protein_L13Ae	-
GCA_000017945-FLGBHGLA_01880	K02996	2.8e-32	109.1	100.30	small_subunit_ribosomal_protein_S9	high_score
GCA_000017945-FLGBHGLA_01890	K03058	1.8e-21	73.0	100.27	DNA-directed_RNA_polymerase_subunit_N_[EC:2.7.7.6]	-
GCA_000017945-FLGBHGLA_01900	K02998	9.9e-54	179.4	210.97	small_subunit_ribosomal_protein_SAe	-
GCA_000017945-FLGBHGLA_01910	K05337	2.6e-19	66.6	40.90	ferredoxin	high_score
GCA_000017945-FLGBHGLA_01920	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01930	K03724	2.4e-177	588.8	268.03	ATP-dependent_helicase_Lhr_and_Lhr-like_helicase_[EC:3.6.4.-]	high_score
GCA_000017945-FLGBHGLA_01940	K03498	8.9e-84	279.0	68.47	trk_system_potassium_uptake_protein	high_score
GCA_000017945-FLGBHGLA_01950	K02975	8.8e-15	51.8	29.50	small_subunit_ribosomal_protein_S25e	high_score
