accession	TIRGR	TIGR_description	EC	TIGR_Evalue
GCA_000017945-FLGBHGLA_01200	TIGR00324	tRNA-intron_lyase	4.6.1.16	3.5e-34
GCA_000017945-FLGBHGLA_01210	-	-	-	-
GCA_000017945-FLGBHGLA_01220	TIGR02702	iron-sulfur_cluster_biosynthesis_transcriptional_regulator_SufR	-	2.9e-08
GCA_000017945-FLGBHGLA_01230	-	-	-	-
GCA_000017945-FLGBHGLA_01240	-	-	-	-
GCA_000017945-FLGBHGLA_01250	TIGR04239	rhomboid_family_protease_GlpG	3.4.21.105	2.5e-06
GCA_000017945-FLGBHGLA_01260	-	-	-	-
GCA_000017945-FLGBHGLA_01270	TIGR00050	RNA_methyltransferase,_TrmH_family,_group_1	2.1.1.-	2e-44
GCA_000017945-FLGBHGLA_01280	TIGR00427	membrane_protein,_MarC_family	-	2.4e-36
GCA_000017945-FLGBHGLA_01290	-	-	-	-
GCA_000017945-FLGBHGLA_01300	TIGR00010	hydrolase,_TatD_family	-	7.7e-44
GCA_000017945-FLGBHGLA_01310	-	-	-	-
GCA_000017945-FLGBHGLA_01320	TIGR02638	lactaldehyde_reductase	1.1.1.77	1e-78
GCA_000017945-FLGBHGLA_01330	TIGR02055	adenylylsulfate_reductase,_thioredoxin_dependent	1.8.4.10	5.3e-08
GCA_000017945-FLGBHGLA_01340	-	-	-	-
GCA_000017945-FLGBHGLA_01350	-	-	-	-
GCA_000017945-FLGBHGLA_01360	-	-	-	-
GCA_000017945-FLGBHGLA_01370	-	-	-	-
GCA_000017945-FLGBHGLA_01380	TIGR02354	thiamine_biosynthesis_protein_ThiF	-	9e-18
GCA_000017945-FLGBHGLA_01390	-	-	-	-
GCA_000017945-FLGBHGLA_01400	-	-	-	-
GCA_000017945-FLGBHGLA_01410	-	-	-	-
GCA_000017945-FLGBHGLA_01420	-	-	-	-
GCA_000017945-FLGBHGLA_01430	-	-	-	-
GCA_000017945-FLGBHGLA_01440	-	-	-	-
GCA_000017945-FLGBHGLA_01450	TIGR04095	DNA_phosphorothioation_system_restriction_enzyme	-	5.3e-16
GCA_000017945-FLGBHGLA_01460	TIGR01188	daunorubicin_resistance_ABC_transporter,_ATP-binding_protein	-	8.2e-109
GCA_000017945-FLGBHGLA_01470	TIGR01247	daunorubicin_resistance_ABC_transporter_membrane_protein	-	7.1e-73
GCA_000017945-FLGBHGLA_01480	-	-	-	-
GCA_000017945-FLGBHGLA_01490	-	-	-	-
GCA_000017945-FLGBHGLA_01500	-	-	-	-
GCA_000017945-FLGBHGLA_01510	TIGR00395	leucine--tRNA_ligase	6.1.1.4	8.2e-283
GCA_000017945-FLGBHGLA_01520	-	-	-	-
GCA_000017945-FLGBHGLA_01530	-	-	-	-
GCA_000017945-FLGBHGLA_01540	TIGR02228	signal_peptidase_I	3.4.21.89	1.4e-28
GCA_000017945-FLGBHGLA_01550	-	-	-	-
GCA_000017945-FLGBHGLA_01560	TIGR03800	pyridoxal_5'-phosphate_synthase,_glutaminase_subunit_Pdx2	2.6.-.-	1.4e-59
GCA_000017945-FLGBHGLA_01570	TIGR00343	pyridoxal_5'-phosphate_synthase,_synthase_subunit_Pdx1	-	2.5e-129
GCA_000017945-FLGBHGLA_01580	-	-	-	-
GCA_000017945-FLGBHGLA_01590	-	-	-	-
GCA_000017945-FLGBHGLA_01600	-	-	-	-
GCA_000017945-FLGBHGLA_01610	TIGR03534	protein-(glutamine-N5)_methyltransferase,_release_factor-specific	2.1.1.-	5.5e-19
GCA_000017945-FLGBHGLA_01620	-	-	-	-
GCA_000017945-FLGBHGLA_01630	TIGR03740	lantibiotic_protection_ABC_transporter,_ATP-binding_subunit	-	6.4e-37
GCA_000017945-FLGBHGLA_01640	TIGR00177	molybdenum_cofactor_synthesis_domain	-	1.7e-33
GCA_000017945-FLGBHGLA_01650	TIGR02211	lipoprotein_releasing_system,_ATP-binding_protein	3.6.3.-	5.5e-72
GCA_000017945-FLGBHGLA_01660	-	-	-	-
GCA_000017945-FLGBHGLA_01670	TIGR00877	phosphoribosylamine--glycine_ligase	6.3.4.13	7.1e-101
GCA_000017945-FLGBHGLA_01680	-	-	-	-
GCA_000017945-FLGBHGLA_01690	TIGR03596	ribosome_biogenesis_GTP-binding_protein_YlqF	-	1.2e-35
GCA_000017945-FLGBHGLA_01700	TIGR00768	alpha-L-glutamate_ligase,_RimK_family	6.3.2.-	1.1e-46
GCA_000017945-FLGBHGLA_01710	-	-	-	-
GCA_000017945-FLGBHGLA_01720	-	-	-	-
GCA_000017945-FLGBHGLA_01730	TIGR01135	glutamine-fructose-6-phosphate_transaminase_(isomerizing)	2.6.1.16	2.1e-186
GCA_000017945-FLGBHGLA_01740	TIGR01944	electron_transport_complex,_RnfABCDGE_type,_B_subunit	-	3.9e-08
GCA_000017945-FLGBHGLA_01750	TIGR02179	2-oxoacid:acceptor_oxidoreductase,_delta_subunit,_pyruvate/2-ketoisovalerate_family	-	6e-10
GCA_000017945-FLGBHGLA_01760	TIGR00285	DNA-binding_protein_Alba	-	1e-33
GCA_000017945-FLGBHGLA_01770	-	-	-	-
GCA_000017945-FLGBHGLA_01780	-	-	-	-
GCA_000017945-FLGBHGLA_01790	TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide_isomerase	5.3.1.16	5.5e-57
GCA_000017945-FLGBHGLA_01800	TIGR03724	Kae1-associated_kinase_Bud32	2.7.-.-	1.1e-69
GCA_000017945-FLGBHGLA_01810	TIGR00042	non-canonical_purine_NTP_pyrophosphatase,_RdgB/HAM1_family	3.6.1.-	9.3e-56
GCA_000017945-FLGBHGLA_01820	TIGR03629	ribosomal_protein_uS13	-	4e-57
GCA_000017945-FLGBHGLA_01830	TIGR01018	ribosomal_protein_uS4	-	2.3e-72
GCA_000017945-FLGBHGLA_01840	TIGR03628	ribosomal_protein_uS11	-	6.3e-61
GCA_000017945-FLGBHGLA_01850	-	-	-	-
GCA_000017945-FLGBHGLA_01860	-	-	-	-
GCA_000017945-FLGBHGLA_01870	TIGR01077	ribosomal_protein_uL13	-	2e-46
GCA_000017945-FLGBHGLA_01880	TIGR03627	ribosomal_protein_uS9	-	1e-56
GCA_000017945-FLGBHGLA_01890	-	-	-	-
GCA_000017945-FLGBHGLA_01900	TIGR01012	ribosomal_protein_uS2	-	1.5e-84
GCA_000017945-FLGBHGLA_01910	-	-	-	-
GCA_000017945-FLGBHGLA_01920	-	-	-	-
GCA_000017945-FLGBHGLA_01930	TIGR04121	DEXH_box_helicase,_DNA_ligase-associated	3.6.4.-	2.4e-110
GCA_000017945-FLGBHGLA_01940	TIGR00933	potassium_uptake_protein,_TrkH_family	-	4.4e-57
GCA_000017945-FLGBHGLA_01950	-	-	-	-
GCA_000017945-FLGBHGLA_01960	TIGR00161	TIGR00161_family_protein	-	2e-32
GCA_000017945-FLGBHGLA_01970	-	-	-	-
GCA_000017945-FLGBHGLA_01980	TIGR03683	alanine--tRNA_ligase	6.1.1.7	0
GCA_000017945-FLGBHGLA_01990	-	-	-	-
GCA_000017945-FLGBHGLA_02000	TIGR02666	molybdenum_cofactor_biosynthesis_protein_A	-	4.9e-24
GCA_000017945-FLGBHGLA_02010	TIGR00657	aspartate_kinase	2.7.2.4	6.9e-106
GCA_000017945-FLGBHGLA_02020	-	-	-	-
GCA_000017945-FLGBHGLA_02030	TIGR02153	glutamyl-tRNA(Gln)_amidotransferase,_subunit_D	6.3.5.-	7.2e-153
GCA_000017945-FLGBHGLA_02040	-	-	-	-
GCA_000017945-FLGBHGLA_02050	-	-	-	-
GCA_000017945-FLGBHGLA_02060	TIGR00589	methylated-DNA--[protein]-cysteine_S-methyltransferase	2.1.1.63	6.4e-20
GCA_000017945-FLGBHGLA_02070	-	-	-	-
GCA_000017945-FLGBHGLA_02080	TIGR02031	magnesium_chelatase_ATPase_subunit_D	6.6.1.1	1.7e-18
GCA_000017945-FLGBHGLA_02090	-	-	-	-
GCA_000017945-FLGBHGLA_02100	-	-	-	-
GCA_000017945-FLGBHGLA_02110	-	-	-	-
GCA_000017945-FLGBHGLA_02120	-	-	-	-
GCA_000017945-FLGBHGLA_02130	TIGR02065	exosome_complex_exonuclease_1	3.1.13.-	3e-18
GCA_000017945-FLGBHGLA_02140	TIGR02065	exosome_complex_exonuclease_1	3.1.13.-	9.4e-108
GCA_000017945-FLGBHGLA_02150	-	-	-	-
GCA_000017945-FLGBHGLA_02160	-	-	-	-
GCA_000017945-FLGBHGLA_02170	-	-	-	-
GCA_000017945-FLGBHGLA_02180	-	-	-	-
GCA_000017945-FLGBHGLA_02190	TIGR00507	shikimate_dehydrogenase	1.1.1.25	4e-72
GCA_000017945-FLGBHGLA_02200	-	-	-	-
GCA_000017945-FLGBHGLA_02210	-	-	-	-
GCA_000017945-FLGBHGLA_02220	TIGR01379	thiamine-phosphate_kinase	2.7.4.16	1.3e-29
GCA_000017945-FLGBHGLA_02230	TIGR00422	valine--tRNA_ligase	6.1.1.9	3.7e-200
GCA_000017945-FLGBHGLA_02240	TIGR03925	type_VII_secretion_protein_EccCb	-	6.1e-06
GCA_000017945-FLGBHGLA_02250	TIGR02173	putative_cytidylate_kinase	2.7.4.14	2e-08
GCA_000017945-FLGBHGLA_02260	-	-	-	-
GCA_000017945-FLGBHGLA_02270	TIGR02274	deoxycytidine_triphosphate_deaminase	3.5.4.13	3.5e-50
GCA_000017945-FLGBHGLA_02280	-	-	-	-
GCA_000017945-FLGBHGLA_02290	-	-	-	-
GCA_000017945-FLGBHGLA_02300	TIGR01037	dihydroorotate_dehydrogenase_family_protein	1.3.-.-	2.8e-96
GCA_000017945-FLGBHGLA_02310	-	-	-	-
GCA_000017945-FLGBHGLA_02320	TIGR04322	putative_7-cyano-7-deazaguanosine_(preQ0)_biosynthesis_protein_QueE	-	4.7e-27
GCA_000017945-FLGBHGLA_02330	TIGR03677	ribosomal_protein_eL8	-	2.7e-54
GCA_000017945-FLGBHGLA_02340	-	-	-	-
GCA_000017945-FLGBHGLA_02350	-	-	-	-
GCA_000017945-FLGBHGLA_02360	TIGR01203	hypoxanthine_phosphoribosyltransferase	2.4.2.8	1.1e-15
GCA_000017945-FLGBHGLA_02370	-	-	-	-
GCA_000017945-FLGBHGLA_02380	-	-	-	-
GCA_000017945-FLGBHGLA_02390	TIGR01035	glutamyl-tRNA_reductase	1.2.1.70	2.2e-06
GCA_000017945-FLGBHGLA_02400	-	-	-	-
GCA_000017945-FLGBHGLA_02410	-	-	-	-
GCA_000017945-FLGBHGLA_02420	-	-	-	-
GCA_000017945-FLGBHGLA_02430	-	-	-	-
GCA_000017945-FLGBHGLA_02440	-	-	-	-
GCA_000017945-FLGBHGLA_02450	TIGR01488	HAD_phosphoserine_phosphatase-like_hydrolase,_family_IB	-	7.6e-23
GCA_000017945-FLGBHGLA_02460	TIGR02390	DNA-directed_RNA_polymerase_subunit_A'	2.7.7.6	0
GCA_000017945-FLGBHGLA_02470	TIGR02389	DNA-directed_RNA_polymerase,_subunit_A''	2.7.7.6	4.5e-153
GCA_000017945-FLGBHGLA_02480	TIGR03677	ribosomal_protein_eL8	-	1.5e-07
GCA_000017945-FLGBHGLA_02490	TIGR01952	NusA_family_KH_domain_protein,_archaeal	-	1.4e-46
GCA_000017945-FLGBHGLA_02500	TIGR00982	ribosomal_protein_uS12	-	4.5e-77
GCA_000017945-FLGBHGLA_02510	-	-	-	-
GCA_000017945-FLGBHGLA_02520	TIGR01028	ribosomal_protein_uS7	-	1.6e-86
GCA_000017945-FLGBHGLA_02530	TIGR02928	orc1/cdc6_family_replication_initiation_protein	-	5.4e-134
GCA_000017945-FLGBHGLA_02540	-	-	-	-
GCA_000017945-FLGBHGLA_02550	TIGR01251	ribose-phosphate_diphosphokinase	2.7.6.1	3.6e-80
GCA_000017945-FLGBHGLA_02560	TIGR00111	mRNA_surveillance_protein_pelota	-	1e-50
GCA_000017945-FLGBHGLA_02570	TIGR01687	MoaD_family_protein	-	6.6e-06
GCA_000017945-FLGBHGLA_02580	-	-	-	-
GCA_000017945-FLGBHGLA_02590	TIGR02188	acetate--CoA_ligase	6.2.1.1	6.9e-195
GCA_000017945-FLGBHGLA_02600	TIGR02188	acetate--CoA_ligase	6.2.1.1	4.3e-112
GCA_000017945-FLGBHGLA_02610	-	-	-	-
GCA_000017945-FLGBHGLA_02620	TIGR00024	putative_phosphoesterase	3.1.-.-	8.1e-46
GCA_000017945-FLGBHGLA_02630	-	-	-	-
GCA_000017945-FLGBHGLA_02640	TIGR02660	homocitrate_synthase	2.3.3.14	9.1e-45
GCA_000017945-FLGBHGLA_02650	-	-	-	-
GCA_000017945-FLGBHGLA_02660	-	-	-	-
GCA_000017945-FLGBHGLA_02670	-	-	-	-
GCA_000017945-FLGBHGLA_02680	-	-	-	-
GCA_000017945-FLGBHGLA_02690	TIGR03722	universal_archaeal_protein_Kae1	-	1.8e-148
GCA_000017945-FLGBHGLA_02700	-	-	-	-
GCA_000017945-FLGBHGLA_02710	-	-	-	-
GCA_000017945-FLGBHGLA_02720	TIGR03128	3-hexulose-6-phosphate_synthase	4.1.2.43	1.3e-54
GCA_000017945-FLGBHGLA_02730	-	-	-	-
GCA_000017945-FLGBHGLA_02740	-	-	-	-
GCA_000017945-FLGBHGLA_02750	-	-	-	-
GCA_000017945-FLGBHGLA_02760	TIGR02967	guanine_deaminase	3.5.4.3	5.7e-06
GCA_000017945-FLGBHGLA_02770	-	-	-	-
GCA_000017945-FLGBHGLA_02780	-	-	-	-
GCA_000017945-FLGBHGLA_02790	TIGR01812	succinate_dehydrogenase_or_fumarate_reductase,_flavoprotein_subunit	-	6.8e-222
GCA_000017945-FLGBHGLA_02800	-	-	-	-
GCA_000017945-FLGBHGLA_02810	TIGR00619	exonuclease_SbcCD,_D_subunit	-	7.3e-18
GCA_000017945-FLGBHGLA_02820	-	-	-	-
GCA_000017945-FLGBHGLA_02830	TIGR01093	3-dehydroquinate_dehydratase,_type_I	4.2.1.10	1.5e-19
GCA_000017945-FLGBHGLA_02840	TIGR01934	ubiquinone/menaquinone_biosynthesis_methyltransferase	2.1.1.-	6.8e-15
GCA_000017945-FLGBHGLA_02850	-	-	-	-
GCA_000017945-FLGBHGLA_02860	TIGR03156	GTP-binding_protein_HflX	-	1.3e-71
GCA_000017945-FLGBHGLA_02870	-	-	-	-
GCA_000017945-FLGBHGLA_02880	-	-	-	-
GCA_000017945-FLGBHGLA_02890	-	-	-	-
GCA_000017945-FLGBHGLA_02900	-	-	-	-
GCA_000017945-FLGBHGLA_02910	TIGR00323	putative_translation_initiation_factor_eIF-6	-	1.6e-56
GCA_000017945-FLGBHGLA_02920	TIGR01208	glucose-1-phosphate_thymidylyltransferase	2.7.7.24	2.4e-95
GCA_000017945-FLGBHGLA_02930	-	-	-	-
GCA_000017945-FLGBHGLA_02940	-	-	-	-
GCA_000017945-FLGBHGLA_02950	-	-	-	-
GCA_000017945-FLGBHGLA_02960	-	-	-	-
GCA_000017945-FLGBHGLA_02970	TIGR03877	KaiC_domain_protein,_Ph0284_family	-	2.4e-139
GCA_000017945-FLGBHGLA_02980	-	-	-	-
GCA_000017945-FLGBHGLA_02990	TIGR00501	methionine_aminopeptidase,_type_II	3.4.11.18	4.5e-81
GCA_000017945-FLGBHGLA_03000	-	-	-	-
GCA_000017945-FLGBHGLA_03010	-	-	-	-
GCA_000017945-FLGBHGLA_03020	-	-	-	-
GCA_000017945-FLGBHGLA_03030	-	-	-	-
GCA_000017945-FLGBHGLA_03040	TIGR04470	radical_SAM_mobile_pair_protein_B	-	8.3e-09
GCA_000017945-FLGBHGLA_03050	TIGR00758	uracil-DNA_glycosylase,_family_4	3.2.2.-	5.9e-65
GCA_000017945-FLGBHGLA_03060	TIGR00900	H+_Antiporter_protein	-	5.1e-09
GCA_000017945-FLGBHGLA_03070	TIGR00655	formyltetrahydrofolate_deformylase	3.5.1.10	4.7e-06
GCA_000017945-FLGBHGLA_03080	TIGR02084	3-isopropylmalate_dehydratase,_small_subunit	4.2.1.33	2.8e-71
GCA_000017945-FLGBHGLA_03090	TIGR00725	TIGR00725_family_protein	-	3.8e-16
GCA_000017945-FLGBHGLA_03100	TIGR03881	KaiC_domain_protein,_PAE1156_family	-	1.2e-122
GCA_000017945-FLGBHGLA_03110	TIGR01268	phenylalanine-4-hydroxylase	1.14.16.1	3.1e-08
GCA_000017945-FLGBHGLA_03120	-	-	-	-
GCA_000017945-FLGBHGLA_03130	-	-	-	-
GCA_000017945-FLGBHGLA_03140	-	-	-	-
GCA_000017945-FLGBHGLA_03150	TIGR00878	phosphoribosylformylglycinamidine_cyclo-ligase	6.3.3.1	5.1e-56
GCA_000017945-FLGBHGLA_03160	-	-	-	-
GCA_000017945-FLGBHGLA_03170	TIGR00418	threonine--tRNA_ligase	6.1.1.3	1.1e-27
GCA_000017945-FLGBHGLA_03180	TIGR00353	cytochrome_c-type_biogenesis_protein_CcmF	-	2.3e-35
GCA_000017945-FLGBHGLA_03190	TIGR01910	peptidase,_ArgE/DapE_family	3.4.-.-	3.2e-72
GCA_000017945-FLGBHGLA_03200	TIGR01126	protein_disulfide-isomerase_domain	-	2.7e-08
GCA_000017945-FLGBHGLA_03210	-	-	-	-
GCA_000017945-FLGBHGLA_03220	TIGR00588	8-oxoguanine_DNA-glycosylase_(ogg)	3.2.2.-	4.9e-06
GCA_000017945-FLGBHGLA_03230	TIGR00537	putative_methylase	-	1.8e-09
GCA_000017945-FLGBHGLA_03240	-	-	-	-
GCA_000017945-FLGBHGLA_03250	-	-	-	-
GCA_000017945-FLGBHGLA_03260	-	-	-	-
GCA_000017945-FLGBHGLA_03270	TIGR02469	precorrin-6Y_C5,15-methyltransferase_(decarboxylating),_CbiT_subunit	2.1.1.132	3.6e-06
GCA_000017945-FLGBHGLA_03280	TIGR03680	translation_initiation_factor_2,_gamma_subunit	-	3.6e-198
GCA_000017945-FLGBHGLA_03290	-	-	-	-
GCA_000017945-FLGBHGLA_03300	TIGR00266	TIGR00266_family_protein	-	3.1e-38
GCA_000017945-FLGBHGLA_03310	TIGR01897	CRISPR-associated_protein,_MJ1666_family	-	2.6e-34
GCA_000017945-FLGBHGLA_03320	TIGR02580	CRISPR_type_III-B/RAMP_module_RAMP_protein_Cmr4	-	5.3e-45
GCA_000017945-FLGBHGLA_03330	TIGR02577	CRISPR-associated_protein_Cas10/Cmr2,_subtype_III-B	-	3.5e-44
GCA_000017945-FLGBHGLA_03340	TIGR01888	CRISPR_type_III-B/RAMP_module-associated_protein_Cmr3	-	1.1e-09
GCA_000017945-FLGBHGLA_03350	-	-	-	-
GCA_000017945-FLGBHGLA_03360	TIGR00337	CTP_synthase	6.3.4.2	7.5e-192
GCA_000017945-FLGBHGLA_03370	TIGR04084	putative_peptide-modifying_radical_SAM_enzyme,_AF0577_family	-	2.6e-113
GCA_000017945-FLGBHGLA_03380	-	-	-	-
GCA_000017945-FLGBHGLA_03390	TIGR01162	phosphoribosylaminoimidazole_carboxylase,_catalytic_subunit	4.1.1.21	2.3e-49
GCA_000017945-FLGBHGLA_03400	-	-	-	-
GCA_000017945-FLGBHGLA_03410	-	-	-	-
GCA_000017945-FLGBHGLA_03420	-	-	-	-
GCA_000017945-FLGBHGLA_03430	TIGR02748	heptaprenyl_diphosphate_synthase_component_II	2.5.1.30	4.6e-26
GCA_000017945-FLGBHGLA_03440	TIGR01068	thioredoxin	-	7.2e-09
GCA_000017945-FLGBHGLA_03450	TIGR04107	putative_heme_utilization_radical_SAM_enzyme_HutW	-	5e-22
GCA_000017945-FLGBHGLA_03460	TIGR02751	phosphoenolpyruvate_carboxylase	4.1.1.31	5.5e-90
GCA_000017945-FLGBHGLA_03470	TIGR01213	tRNA_pseudouridine(54/55)_synthase	5.4.99.25	2.9e-118
GCA_000017945-FLGBHGLA_03480	TIGR02067	histidinol-phosphatase	3.1.3.15	3.1e-12
GCA_000017945-FLGBHGLA_03490	TIGR00472	phenylalanine--tRNA_ligase,_beta_subunit	6.1.1.20	1.4e-10
GCA_000017945-FLGBHGLA_03500	TIGR00275	flavoprotein,_HI0933_family	-	2.8e-10
GCA_000017945-FLGBHGLA_03510	TIGR00184	adenylosuccinate_synthase	6.3.4.4	4.4e-81
GCA_000017945-FLGBHGLA_03520	TIGR00234	tyrosine--tRNA_ligase	6.1.1.1	1.6e-26
GCA_000017945-FLGBHGLA_03530	TIGR01411	twin_arginine-targeting_protein_translocase,_TatA/E_family	-	7.4e-16
GCA_000017945-FLGBHGLA_03540	TIGR01251	ribose-phosphate_diphosphokinase	2.7.6.1	3.5e-09
GCA_000017945-FLGBHGLA_03550	-	-	-	-
GCA_000017945-FLGBHGLA_03560	TIGR01718	uridine_phosphorylase	2.4.2.3	7.9e-43
GCA_000017945-FLGBHGLA_03570	TIGR00252	TIGR00252_family_protein	-	2.6e-06
GCA_000017945-FLGBHGLA_03580	-	-	-	-
GCA_000017945-FLGBHGLA_03590	TIGR00230	sugar_fermentation_stimulation_protein	-	3.5e-34
GCA_000017945-FLGBHGLA_03600	TIGR00073	hydrogenase_accessory_protein_HypB	-	1.2e-71
GCA_000017945-FLGBHGLA_03610	-	-	-	-
GCA_000017945-FLGBHGLA_03620	-	-	-	-
GCA_000017945-FLGBHGLA_03630	-	-	-	-
GCA_000017945-FLGBHGLA_03640	-	-	-	-
GCA_000017945-FLGBHGLA_03650	-	-	-	-
GCA_000017945-FLGBHGLA_03660	TIGR02727	5-formyltetrahydrofolate_cyclo-ligase	6.3.3.2	2.6e-06
GCA_000017945-FLGBHGLA_03670	-	-	-	-
GCA_000017945-FLGBHGLA_03680	TIGR00408	proline--tRNA_ligase	6.1.1.15	3.4e-175
GCA_000017945-FLGBHGLA_03690	-	-	-	-
GCA_000017945-FLGBHGLA_03700	TIGR02168	chromosome_segregation_protein_SMC	-	9.5e-14
GCA_000017945-FLGBHGLA_03710	-	-	-	-
GCA_000017945-FLGBHGLA_03720	TIGR01384	transcription_factor_S	-	6.4e-11
GCA_000017945-FLGBHGLA_03730	-	-	-	-
GCA_000017945-FLGBHGLA_03740	TIGR04013	B12-binding_domain/radical_SAM_domain_protein,_MJ_1487_family	-	9.2e-151
GCA_000017945-FLGBHGLA_03750	-	-	-	-
GCA_000017945-FLGBHGLA_03760	-	-	-	-
GCA_000017945-FLGBHGLA_03770	-	-	-	-
GCA_000017945-FLGBHGLA_03780	-	-	-	-
GCA_000017945-FLGBHGLA_03790	TIGR00057	tRNA_threonylcarbamoyl_adenosine_modification_protein,_Sua5/YciO/YrdC/YwlC_family	-	1.7e-45
GCA_000017945-FLGBHGLA_03800	TIGR01912	Sec-independent_protein_translocase_TatC	-	1.1e-28
GCA_000017945-FLGBHGLA_03810	TIGR00258	inosine/xanthosine_triphosphatase	-	1.2e-32
GCA_000017945-FLGBHGLA_03820	TIGR00748	putative_hydroxymethylglutaryl-CoA_synthase	2.3.3.10	2.3e-141
GCA_000017945-FLGBHGLA_03830	TIGR01930	acetyl-CoA_C-acyltransferase	2.3.1.16	1e-12
GCA_000017945-FLGBHGLA_03840	-	-	-	-
GCA_000017945-FLGBHGLA_03850	TIGR01923	O-succinylbenzoate-CoA_ligase	6.2.1.26	3.2e-53
GCA_000017945-FLGBHGLA_03860	-	-	-	-
GCA_000017945-FLGBHGLA_03870	TIGR00950	carboxylate/amino_acid/amine_transporter	-	4.7e-25
GCA_000017945-FLGBHGLA_03880	-	-	-	-
GCA_000017945-FLGBHGLA_03890	TIGR01327	phosphoglycerate_dehydrogenase	1.1.1.95	1.6e-105
GCA_000017945-FLGBHGLA_03900	TIGR00069	histidinol_dehydrogenase	1.1.1.23	1.5e-90
GCA_000017945-FLGBHGLA_03910	-	-	-	-
GCA_000017945-FLGBHGLA_03920	TIGR02717	acetyl_coenzyme_A_synthetase_(ADP_forming),_alpha_domain	6.2.1.13	2.4e-100
GCA_000017945-FLGBHGLA_03930	-	-	-	-
GCA_000017945-FLGBHGLA_03940	-	-	-	-
GCA_000017945-FLGBHGLA_03950	TIGR00421	polyprenyl_P-hydroxybenzoate_and_phenylacrylic_acid_decarboxylases	4.1.1.-	1.7e-42
GCA_000017945-FLGBHGLA_03960	-	-	-	-
GCA_000017945-FLGBHGLA_03970	-	-	-	-
GCA_000017945-FLGBHGLA_03980	TIGR00880	multidrug_resistance_protein	-	1e-26
GCA_000017945-FLGBHGLA_03990	TIGR00222	3-methyl-2-oxobutanoate_hydroxymethyltransferase	2.1.2.11	9.4e-100
GCA_000017945-FLGBHGLA_04000	TIGR03073	release_factor_H-coupled_RctB_family_protein	-	3.2e-48
GCA_000017945-FLGBHGLA_04010	TIGR00932	transporter,_monovalent_cation:proton_antiporter-2_(CPA2)_family	-	1.1e-09
GCA_000017945-FLGBHGLA_04020	TIGR01382	intracellular_protease,_PfpI_family	-	1.7e-47
GCA_000017945-FLGBHGLA_04030	-	-	-	-
GCA_000017945-FLGBHGLA_04040	TIGR04053	radical_SAM_protein,_BA_1875_family	-	1.4e-136
GCA_000017945-FLGBHGLA_04050	TIGR01224	imidazolonepropionase	3.5.2.7	3.5e-06
GCA_000017945-FLGBHGLA_04060	TIGR03992	UDP-N-acetylglucosamine_diphosphorylase/glucosamine-1-phosphate_N-acetyltransferase	2.7.7.23|2.3.1.157	1.3e-14
GCA_000017945-FLGBHGLA_04070	TIGR00928	adenylosuccinate_lyase	4.3.2.2	4.2e-128
GCA_000017945-FLGBHGLA_04080	-	-	-	-
GCA_000017945-FLGBHGLA_04090	TIGR00135	aspartyl/glutamyl-tRNA(Asn/Gln)_amidotransferase,_C_subunit	6.3.5.-	2.9e-14
GCA_000017945-FLGBHGLA_04100	-	-	-	-
GCA_000017945-FLGBHGLA_04110	-	-	-	-
GCA_000017945-FLGBHGLA_04120	-	-	-	-
GCA_000017945-FLGBHGLA_04130	-	-	-	-
GCA_000017945-FLGBHGLA_04140	TIGR03540	LL-diaminopimelate_aminotransferase	2.6.1.83	2.4e-36
GCA_000017945-FLGBHGLA_04150	TIGR01134	amidophosphoribosyltransferase	2.4.2.14	1.4e-35
GCA_000017945-FLGBHGLA_04160	TIGR03122	formylmethanofuran_dehydrogenase_subunit_C	1.2.99.5	5.6e-27
GCA_000017945-FLGBHGLA_04170	-	-	-	-
GCA_000017945-FLGBHGLA_04180	-	-	-	-
GCA_000017945-FLGBHGLA_04190	TIGR03413	hydroxyacylglutathione_hydrolase	3.1.2.6	1.9e-14
GCA_000017945-FLGBHGLA_04200	-	-	-	-
GCA_000017945-FLGBHGLA_04210	TIGR00342	tRNA_sulfurtransferase_ThiI	2.8.1.4	1.1e-11
GCA_000017945-FLGBHGLA_04220	TIGR00075	hydrogenase_expression/formation_protein_HypD	-	4e-112
GCA_000017945-FLGBHGLA_04230	-	-	-	-
GCA_000017945-FLGBHGLA_04240	-	-	-	-
GCA_000017945-FLGBHGLA_04250	TIGR01476	bacteriochlorophyll/chlorophyll_synthetase	2.5.1.-	1.6e-18
GCA_000017945-FLGBHGLA_04260	TIGR00285	DNA-binding_protein_Alba	-	1.1e-14
GCA_000017945-FLGBHGLA_04270	TIGR01054	reverse_gyrase	3.6.4.12|5.99.1.3	6.2e-247
GCA_000017945-FLGBHGLA_04280	-	-	-	-
GCA_000017945-FLGBHGLA_04290	TIGR03288	CoB--CoM_heterodisulfide_reductase,_subunit_B	1.8.98.1	4.1e-31
GCA_000017945-FLGBHGLA_04300	TIGR00506	3,4-dihydroxy-2-butanone-4-phosphate_synthase	4.1.99.12	8.6e-38
GCA_000017945-FLGBHGLA_04310	-	-	-	-
GCA_000017945-FLGBHGLA_04320	-	-	-	-
GCA_000017945-FLGBHGLA_04330	TIGR01379	thiamine-phosphate_kinase	2.7.4.16	5.4e-09
