accession	PFAM_hmm	PFAM_description	Pfam_Evalue
GCA_000017945-FLGBHGLA_01200	PF01974	tRNA_intron_endonuclease,_catalytic_C-terminal_domain	1e-30
GCA_000017945-FLGBHGLA_01210	-	-	-
GCA_000017945-FLGBHGLA_01220	PF01037	Lrp/AsnC_ligand_binding_domain	4.9e-15
GCA_000017945-FLGBHGLA_01230	-	-	-
GCA_000017945-FLGBHGLA_01240	-	-	-
GCA_000017945-FLGBHGLA_01250	PF01694	Rhomboid_family	3.1e-35
GCA_000017945-FLGBHGLA_01260	PF04458	Protein_of_unknown_function_(DUF505)	4.8e-177
GCA_000017945-FLGBHGLA_01270	PF00588	SpoU_rRNA_Methylase_family	6.6e-31
GCA_000017945-FLGBHGLA_01280	PF01914	MarC_family_integral_membrane_protein	1.2e-37
GCA_000017945-FLGBHGLA_01290	PF05127	Helicase	1.4e-56
GCA_000017945-FLGBHGLA_01300	PF01026	TatD_related_DNase	6.4e-42
GCA_000017945-FLGBHGLA_01310	PF13023	HD_domain	5.5e-11
GCA_000017945-FLGBHGLA_01320	PF00465	Iron-containing_alcohol_dehydrogenase_	1.2e-124
GCA_000017945-FLGBHGLA_01330	PF01507	Phosphoadenosine_phosphosulfate_reductase_family	3.4e-27
GCA_000017945-FLGBHGLA_01340	-	-	-
GCA_000017945-FLGBHGLA_01350	-	-	-
GCA_000017945-FLGBHGLA_01360	-	-	-
GCA_000017945-FLGBHGLA_01370	-	-	-
GCA_000017945-FLGBHGLA_01380	PF00899	ThiF_family	4.3e-25
GCA_000017945-FLGBHGLA_01390	PF13458	Periplasmic_binding_protein	3.7e-36
GCA_000017945-FLGBHGLA_01400	PF13458	Periplasmic_binding_protein	1.9e-30
GCA_000017945-FLGBHGLA_01410	-	-	-
GCA_000017945-FLGBHGLA_01420	-	-	-
GCA_000017945-FLGBHGLA_01430	-	-	-
GCA_000017945-FLGBHGLA_01440	PF00582	Universal_stress_protein_family	9.6e-32
GCA_000017945-FLGBHGLA_01450	PF04851	Type_III_restriction_enzyme,_res_subunit	1e-20
GCA_000017945-FLGBHGLA_01460	PF00005	ABC_transporter	4.6e-34
GCA_000017945-FLGBHGLA_01470	PF01061	ABC-2_type_transporter	2.1e-32
GCA_000017945-FLGBHGLA_01480	-	-	-
GCA_000017945-FLGBHGLA_01490	-	-	-
GCA_000017945-FLGBHGLA_01500	-	-	-
GCA_000017945-FLGBHGLA_01510	PF00133	tRNA_synthetases_class_I_(I,_L,_M_and_V)	4.1e-53
GCA_000017945-FLGBHGLA_01520	PF01192	RNA_polymerase_Rpb6_	1.2e-10
GCA_000017945-FLGBHGLA_01530	-	-	-
GCA_000017945-FLGBHGLA_01540	PF00717	Peptidase_S24-like	4.4e-10
GCA_000017945-FLGBHGLA_01550	-	-	-
GCA_000017945-FLGBHGLA_01560	PF01174	SNO_glutamine_amidotransferase_family	1.5e-47
GCA_000017945-FLGBHGLA_01570	PF01680	SOR/SNZ_family	5.9e-102
GCA_000017945-FLGBHGLA_01580	PF01423	LSM_domain_	4.2e-18
GCA_000017945-FLGBHGLA_01590	PF01941	S-adenosylmethionine_synthetase_(AdoMet_synthetase)	5.2e-168
GCA_000017945-FLGBHGLA_01600	PF01998	Protein_of_unknown_function_DUF131	2.7e-06
GCA_000017945-FLGBHGLA_01610	PF05175	Methyltransferase_small_domain	2.3e-41
GCA_000017945-FLGBHGLA_01620	-	-	-
GCA_000017945-FLGBHGLA_01630	PF00005	ABC_transporter	1.1e-26
GCA_000017945-FLGBHGLA_01640	PF03453	MoeA_N-terminal_region_(domain_I_and_II)	1e-39
GCA_000017945-FLGBHGLA_01650	PF00005	ABC_transporter	3.2e-33
GCA_000017945-FLGBHGLA_01660	-	-	-
GCA_000017945-FLGBHGLA_01670	PF01071	Phosphoribosylglycinamide_synthetase,_ATP-grasp_(A)_domain	9.2e-44
GCA_000017945-FLGBHGLA_01680	-	-	-
GCA_000017945-FLGBHGLA_01690	PF01926	50S_ribosome-binding_GTPase	7.6e-14
GCA_000017945-FLGBHGLA_01700	PF08443	RimK-like_ATP-grasp_domain	3.6e-24
GCA_000017945-FLGBHGLA_01710	PF02579	Dinitrogenase_iron-molybdenum_cofactor	2.2e-10
GCA_000017945-FLGBHGLA_01720	-	-	-
GCA_000017945-FLGBHGLA_01730	PF01380	SIS_domain	1.5e-42
GCA_000017945-FLGBHGLA_01740	PF00037	4Fe-4S_binding_domain	2.2e-10
GCA_000017945-FLGBHGLA_01750	PF00037	4Fe-4S_binding_domain	1.9e-11
GCA_000017945-FLGBHGLA_01760	PF01918	Alba	1.7e-22
GCA_000017945-FLGBHGLA_01770	-	-	-
GCA_000017945-FLGBHGLA_01780	-	-	-
GCA_000017945-FLGBHGLA_01790	PF00977	Histidine_biosynthesis_protein	2e-55
GCA_000017945-FLGBHGLA_01800	PF01163	RIO1_family	3e-10
GCA_000017945-FLGBHGLA_01810	PF01725	Ham1_family	2.9e-51
GCA_000017945-FLGBHGLA_01820	PF00416	Ribosomal_protein_S13/S18	2.1e-41
GCA_000017945-FLGBHGLA_01830	PF01479	S4_domain	9.2e-19
GCA_000017945-FLGBHGLA_01840	PF00411	Ribosomal_protein_S11	1.8e-47
GCA_000017945-FLGBHGLA_01850	PF01000	RNA_polymerase_Rpb3/RpoA_insert_domain	5.2e-25
GCA_000017945-FLGBHGLA_01860	PF00828	Ribosomal_proteins_50S-L15,_50S-L18e,_60S-L27A	3.1e-10
GCA_000017945-FLGBHGLA_01870	PF00572	Ribosomal_protein_L13	4.6e-14
GCA_000017945-FLGBHGLA_01880	PF00380	Ribosomal_protein_S9/S16	4.4e-31
GCA_000017945-FLGBHGLA_01890	PF01194	RNA_polymerases_N_/_8_kDa_subunit	6.5e-17
GCA_000017945-FLGBHGLA_01900	PF00318	Ribosomal_protein_S2	6.6e-29
GCA_000017945-FLGBHGLA_01910	PF13370	4Fe-4S_single_cluster_domain_of_Ferredoxin_I	6.2e-22
GCA_000017945-FLGBHGLA_01920	-	-	-
GCA_000017945-FLGBHGLA_01930	PF00270	DEAD/DEAH_box_helicase	1e-32
GCA_000017945-FLGBHGLA_01940	PF02386	Cation_transport_protein	1.8e-27
GCA_000017945-FLGBHGLA_01950	PF03297	S25_ribosomal_protein	1.1e-15
GCA_000017945-FLGBHGLA_01960	PF09754	PAC2_family	1.7e-41
GCA_000017945-FLGBHGLA_01970	-	-	-
GCA_000017945-FLGBHGLA_01980	PF01411	tRNA_synthetases_class_II_(A)	1.7e-121
GCA_000017945-FLGBHGLA_01990	-	-	-
GCA_000017945-FLGBHGLA_02000	PF04055	Radical_SAM_superfamily	3.6e-20
GCA_000017945-FLGBHGLA_02010	PF00696	Amino_acid_kinase_family	1.3e-49
GCA_000017945-FLGBHGLA_02020	-	-	-
GCA_000017945-FLGBHGLA_02030	PF00710	Asparaginase,_N-terminal	1.4e-62
GCA_000017945-FLGBHGLA_02040	-	-	-
GCA_000017945-FLGBHGLA_02050	-	-	-
GCA_000017945-FLGBHGLA_02060	PF01035	6-O-methylguanine_DNA_methyltransferase,_DNA_binding_domain	4.4e-24
GCA_000017945-FLGBHGLA_02070	-	-	-
GCA_000017945-FLGBHGLA_02080	PF07726	ATPase_family_associated_with_various_cellular_activities_(AAA)	2.1e-59
GCA_000017945-FLGBHGLA_02090	PF01841	Transglutaminase-like_superfamily	5.3e-20
GCA_000017945-FLGBHGLA_02100	-	-	-
GCA_000017945-FLGBHGLA_02110	PF04016	Putative_heavy-metal_chelation	1.3e-30
GCA_000017945-FLGBHGLA_02120	-	-	-
GCA_000017945-FLGBHGLA_02130	PF01138	3'_exoribonuclease_family,_domain_1	2.4e-31
GCA_000017945-FLGBHGLA_02140	PF01138	3'_exoribonuclease_family,_domain_1	1e-35
GCA_000017945-FLGBHGLA_02150	PF15985	KH_domain	1e-11
GCA_000017945-FLGBHGLA_02160	-	-	-
GCA_000017945-FLGBHGLA_02170	PF04182	B-block_binding_subunit_of_TFIIIC	8.9e-07
GCA_000017945-FLGBHGLA_02180	-	-	-
GCA_000017945-FLGBHGLA_02190	PF08501	Shikimate_dehydrogenase_substrate_binding_domain	1e-23
GCA_000017945-FLGBHGLA_02200	-	-	-
GCA_000017945-FLGBHGLA_02210	-	-	-
GCA_000017945-FLGBHGLA_02220	PF00586	AIR_synthase_related_protein,_N-terminal_domain	3.4e-11
GCA_000017945-FLGBHGLA_02230	PF00133	tRNA_synthetases_class_I_(I,_L,_M_and_V)	4.1e-117
GCA_000017945-FLGBHGLA_02240	PF01935	Domain_of_unknown_function_DUF87	6.6e-20
GCA_000017945-FLGBHGLA_02250	PF13238	AAA_domain	4e-25
GCA_000017945-FLGBHGLA_02260	PF01261	Xylose_isomerase-like_TIM_barrel	2.5e-23
GCA_000017945-FLGBHGLA_02270	PF00692	dUTPase	2e-15
GCA_000017945-FLGBHGLA_02280	-	-	-
GCA_000017945-FLGBHGLA_02290	PF01037	Lrp/AsnC_ligand_binding_domain	5.4e-13
GCA_000017945-FLGBHGLA_02300	PF01180	Dihydroorotate_dehydrogenase	3.2e-53
GCA_000017945-FLGBHGLA_02310	-	-	-
GCA_000017945-FLGBHGLA_02320	PF13394	4Fe-4S_single_cluster_domain	1.9e-15
GCA_000017945-FLGBHGLA_02330	PF01248	Ribosomal_protein_L7Ae/L30e/S12e/Gadd45_family	4e-33
GCA_000017945-FLGBHGLA_02340	PF05167	Uncharacterised_ACR_(DUF711)	9.7e-134
GCA_000017945-FLGBHGLA_02350	-	-	-
GCA_000017945-FLGBHGLA_02360	PF00156	Phosphoribosyl_transferase_domain	3.5e-27
GCA_000017945-FLGBHGLA_02370	-	-	-
GCA_000017945-FLGBHGLA_02380	PF00924	Mechanosensitive_ion_channel	1.5e-06
GCA_000017945-FLGBHGLA_02390	PF02254	TrkA-N_domain	6.5e-24
GCA_000017945-FLGBHGLA_02400	-	-	-
GCA_000017945-FLGBHGLA_02410	PF00149	Calcineurin-like_phosphoesterase	1.1e-10
GCA_000017945-FLGBHGLA_02420	-	-	-
GCA_000017945-FLGBHGLA_02430	PF01877	RNA_binding	2.3e-35
GCA_000017945-FLGBHGLA_02440	PF09895	RecB-family_nuclease_(DUF2122)	2e-34
GCA_000017945-FLGBHGLA_02450	PF00702	haloacid_dehalogenase-like_hydrolase	5.1e-16
GCA_000017945-FLGBHGLA_02460	PF04997	RNA_polymerase_Rpb1,_domain_1	8.6e-98
GCA_000017945-FLGBHGLA_02470	PF04998	RNA_polymerase_Rpb1,_domain_5	2e-59
GCA_000017945-FLGBHGLA_02480	PF01248	Ribosomal_protein_L7Ae/L30e/S12e/Gadd45_family	1.8e-21
GCA_000017945-FLGBHGLA_02490	PF07650	KH_domain	4.1e-16
GCA_000017945-FLGBHGLA_02500	PF00164	Ribosomal_protein_S12/S23	3.5e-48
GCA_000017945-FLGBHGLA_02510	PF02577	Bifunctional_nuclease	3.6e-11
GCA_000017945-FLGBHGLA_02520	PF00177	Ribosomal_protein_S7p/S5e	4.2e-43
GCA_000017945-FLGBHGLA_02530	PF09079	CDC6,_C_terminal_winged_helix_domain	1.2e-22
GCA_000017945-FLGBHGLA_02540	PF01949	Protein_of_unknown_function_DUF99	1.6e-08
GCA_000017945-FLGBHGLA_02550	PF13793	N-terminal_domain_of_ribose_phosphate_pyrophosphokinase	4.2e-27
GCA_000017945-FLGBHGLA_02560	PF03463	eRF1_domain_1	6.8e-21
GCA_000017945-FLGBHGLA_02570	-	-	-
GCA_000017945-FLGBHGLA_02580	PF00582	Universal_stress_protein_family	2.8e-35
GCA_000017945-FLGBHGLA_02590	PF00501	AMP-binding_enzyme	6.8e-75
GCA_000017945-FLGBHGLA_02600	PF13193	AMP-binding_enzyme_C-terminal_domain	5.4e-33
GCA_000017945-FLGBHGLA_02610	-	-	-
GCA_000017945-FLGBHGLA_02620	PF12850	Calcineurin-like_phosphoesterase_superfamily_domain	7.7e-09
GCA_000017945-FLGBHGLA_02630	PF02391	MoaE_protein	5.3e-25
GCA_000017945-FLGBHGLA_02640	PF00682	HMGL-like	5.9e-30
GCA_000017945-FLGBHGLA_02650	-	-	-
GCA_000017945-FLGBHGLA_02660	-	-	-
GCA_000017945-FLGBHGLA_02670	-	-	-
GCA_000017945-FLGBHGLA_02680	PF05960	Bacterial_protein_of_unknown_function_(DUF885)	9.6e-66
GCA_000017945-FLGBHGLA_02690	PF00814	Glycoprotease_family	1.9e-73
GCA_000017945-FLGBHGLA_02700	-	-	-
GCA_000017945-FLGBHGLA_02710	-	-	-
GCA_000017945-FLGBHGLA_02720	PF00215	Orotidine_5'-phosphate_decarboxylase_/_HUMPS_family	1.4e-27
GCA_000017945-FLGBHGLA_02730	PF01599	Ribosomal_protein_S27a	6.8e-14
GCA_000017945-FLGBHGLA_02740	PF01282	Ribosomal_protein_S24e	7e-19
GCA_000017945-FLGBHGLA_02750	PF00833	Ribosomal_S17	1e-17
GCA_000017945-FLGBHGLA_02760	PF01979	Amidohydrolase_family	9.3e-18
GCA_000017945-FLGBHGLA_02770	PF00162	Phosphoglycerate_kinase	1.2e-116
GCA_000017945-FLGBHGLA_02780	-	-	-
GCA_000017945-FLGBHGLA_02790	PF00890	FAD_binding_domain	7.7e-114
GCA_000017945-FLGBHGLA_02800	-	-	-
GCA_000017945-FLGBHGLA_02810	PF00149	Calcineurin-like_phosphoesterase	6.3e-13
GCA_000017945-FLGBHGLA_02820	-	-	-
GCA_000017945-FLGBHGLA_02830	PF01487	Type_I_3-dehydroquinase	9.5e-22
GCA_000017945-FLGBHGLA_02840	PF08241	Methyltransferase_domain	1.4e-20
GCA_000017945-FLGBHGLA_02850	-	-	-
GCA_000017945-FLGBHGLA_02860	PF13167	GTP-binding_GTPase_N-terminal	1.9e-22
GCA_000017945-FLGBHGLA_02870	PF01090	Ribosomal_protein_S19e	1.2e-52
GCA_000017945-FLGBHGLA_02880	PF01984	Double-stranded_DNA-binding_domain	1.4e-24
GCA_000017945-FLGBHGLA_02890	PF00832	Ribosomal_L39_protein	4e-19
GCA_000017945-FLGBHGLA_02900	PF01198	Ribosomal_protein_L31e	3.4e-18
GCA_000017945-FLGBHGLA_02910	PF01912	eIF-6_family	2.6e-71
GCA_000017945-FLGBHGLA_02920	PF00483	Nucleotidyl_transferase	1e-45
GCA_000017945-FLGBHGLA_02930	-	-	-
GCA_000017945-FLGBHGLA_02940	PF01283	Ribosomal_protein_S26e	2.6e-27
GCA_000017945-FLGBHGLA_02950	PF04013	Putative_SAM-dependent_RNA_methyltransferase	2.4e-29
GCA_000017945-FLGBHGLA_02960	PF02538	Hydantoinase_B/oxoprolinase	3.9e-140
GCA_000017945-FLGBHGLA_02970	PF06745	KaiC	3.2e-89
GCA_000017945-FLGBHGLA_02980	-	-	-
GCA_000017945-FLGBHGLA_02990	PF00557	Metallopeptidase_family_M24	3.5e-35
GCA_000017945-FLGBHGLA_03000	PF02730	Aldehyde_ferredoxin_oxidoreductase,_N-terminal_domain	3.6e-31
GCA_000017945-FLGBHGLA_03010	PF03966	Trm112p-like_protein	4e-16
GCA_000017945-FLGBHGLA_03020	PF07690	Major_Facilitator_Superfamily	2.3e-10
GCA_000017945-FLGBHGLA_03030	-	-	-
GCA_000017945-FLGBHGLA_03040	-	-	-
GCA_000017945-FLGBHGLA_03050	PF03167	Uracil_DNA_glycosylase_superfamily	2.6e-49
GCA_000017945-FLGBHGLA_03060	PF07690	Major_Facilitator_Superfamily	1.5e-16
GCA_000017945-FLGBHGLA_03070	PF13740	ACT_domain	2.3e-19
GCA_000017945-FLGBHGLA_03080	PF00694	Aconitase_C-terminal_domain	1e-19
GCA_000017945-FLGBHGLA_03090	-	-	-
GCA_000017945-FLGBHGLA_03100	PF06745	KaiC	6.8e-58
GCA_000017945-FLGBHGLA_03110	PF00800	Prephenate_dehydratase	3.8e-55
GCA_000017945-FLGBHGLA_03120	PF01037	Lrp/AsnC_ligand_binding_domain	2.8e-12
GCA_000017945-FLGBHGLA_03130	PF08489	Domain_of_unknown_function_(DUF1743)	8.5e-13
GCA_000017945-FLGBHGLA_03140	-	-	-
GCA_000017945-FLGBHGLA_03150	PF02769	AIR_synthase_related_protein,_C-terminal_domain	2.5e-20
GCA_000017945-FLGBHGLA_03160	PF03703	Bacterial_PH_domain	5e-07
GCA_000017945-FLGBHGLA_03170	PF03129	Anticodon_binding_domain	2.3e-20
GCA_000017945-FLGBHGLA_03180	PF01578	Cytochrome_C_assembly_protein	3.6e-17
GCA_000017945-FLGBHGLA_03190	PF01546	Peptidase_family_M20/M25/M40	6.6e-30
GCA_000017945-FLGBHGLA_03200	PF00085	Thioredoxin	1.5e-12
GCA_000017945-FLGBHGLA_03210	PF00288	GHMP_kinases_N_terminal_domain	2.3e-07
GCA_000017945-FLGBHGLA_03220	-	-	-
GCA_000017945-FLGBHGLA_03230	PF02475	Met-10+_like-protein	3.9e-49
GCA_000017945-FLGBHGLA_03240	-	-	-
GCA_000017945-FLGBHGLA_03250	-	-	-
GCA_000017945-FLGBHGLA_03260	-	-	-
GCA_000017945-FLGBHGLA_03270	PF02353	Mycolic_acid_cyclopropane_synthetase	1.8e-09
GCA_000017945-FLGBHGLA_03280	PF09173	Initiation_factor_eIF2_gamma,_C_terminal	2.7e-30
GCA_000017945-FLGBHGLA_03290	PF00490	Delta-aminolevulinic_acid_dehydratase	4.7e-148
GCA_000017945-FLGBHGLA_03300	PF01987	Mitochondrial_biogenesis_AIM24	4.2e-44
GCA_000017945-FLGBHGLA_03310	PF09455	CRISPR-associated_(Cas)_DxTHG_family	2e-45
GCA_000017945-FLGBHGLA_03320	PF03787	RAMP_superfamily	2.6e-27
GCA_000017945-FLGBHGLA_03330	PF12469	CRISPR-associated_protein_	1.1e-29
GCA_000017945-FLGBHGLA_03340	-	-	-
GCA_000017945-FLGBHGLA_03350	-	-	-
GCA_000017945-FLGBHGLA_03360	PF06418	CTP_synthase_N-terminus	1.2e-101
GCA_000017945-FLGBHGLA_03370	PF04055	Radical_SAM_superfamily	3.3e-14
GCA_000017945-FLGBHGLA_03380	-	-	-
GCA_000017945-FLGBHGLA_03390	PF00731	AIR_carboxylase	1.1e-50
GCA_000017945-FLGBHGLA_03400	-	-	-
GCA_000017945-FLGBHGLA_03410	-	-	-
GCA_000017945-FLGBHGLA_03420	PF04493	Endonuclease_V	3.7e-56
GCA_000017945-FLGBHGLA_03430	PF00348	Polyprenyl_synthetase	2.8e-41
GCA_000017945-FLGBHGLA_03440	PF00085	Thioredoxin	6.3e-11
GCA_000017945-FLGBHGLA_03450	PF04055	Radical_SAM_superfamily	8e-13
GCA_000017945-FLGBHGLA_03460	PF14010	Phosphoenolpyruvate_carboxylase	1.3e-150
GCA_000017945-FLGBHGLA_03470	PF02926	THUMP_domain	1.5e-12
GCA_000017945-FLGBHGLA_03480	PF00459	Inositol_monophosphatase_family	2.5e-21
GCA_000017945-FLGBHGLA_03490	PF03483	B3/4_domain	1.7e-28
GCA_000017945-FLGBHGLA_03500	PF07992	Pyridine_nucleotide-disulphide_oxidoreductase	5.7e-15
GCA_000017945-FLGBHGLA_03510	PF00709	Adenylosuccinate_synthetase	8.1e-69
GCA_000017945-FLGBHGLA_03520	PF00579	tRNA_synthetases_class_I_(W_and_Y)	5.9e-37
GCA_000017945-FLGBHGLA_03530	PF02416	mttA/Hcf106_family	5.6e-14
GCA_000017945-FLGBHGLA_03540	PF00156	Phosphoribosyl_transferase_domain	5.5e-18
GCA_000017945-FLGBHGLA_03550	-	-	-
GCA_000017945-FLGBHGLA_03560	PF01048	Phosphorylase_superfamily	4.5e-43
GCA_000017945-FLGBHGLA_03570	PF04471	Restriction_endonuclease	8.2e-07
GCA_000017945-FLGBHGLA_03580	-	-	-
GCA_000017945-FLGBHGLA_03590	PF03749	Sugar_fermentation_stimulation_protein	3.1e-32
GCA_000017945-FLGBHGLA_03600	PF02492	CobW/HypB/UreG,_nucleotide-binding_domain	2.4e-26
GCA_000017945-FLGBHGLA_03610	-	-	-
GCA_000017945-FLGBHGLA_03620	-	-	-
GCA_000017945-FLGBHGLA_03630	-	-	-
GCA_000017945-FLGBHGLA_03640	PF03692	Putative_zinc-_or_iron-chelating_domain	9.8e-10
GCA_000017945-FLGBHGLA_03650	-	-	-
GCA_000017945-FLGBHGLA_03660	PF01812	5-formyltetrahydrofolate_cyclo-ligase_family	7.3e-30
GCA_000017945-FLGBHGLA_03670	-	-	-
GCA_000017945-FLGBHGLA_03680	PF00587	tRNA_synthetase_class_II_core_domain_(G,_H,_P,_S_and_T)	1.8e-25
GCA_000017945-FLGBHGLA_03690	PF01950	Fructose-1,6-bisphosphatase	5.1e-190
GCA_000017945-FLGBHGLA_03700	PF05377	Flagella_accessory_protein_C_(FlaC)	8.2e-09
GCA_000017945-FLGBHGLA_03710	-	-	-
GCA_000017945-FLGBHGLA_03720	PF02150	RNA_polymerases_M/15_Kd_subunit	8e-08
GCA_000017945-FLGBHGLA_03730	-	-	-
GCA_000017945-FLGBHGLA_03740	PF04055	Radical_SAM_superfamily	9e-28
GCA_000017945-FLGBHGLA_03750	PF16575	mRNA_cleavage_and_polyadenylation_factor_CLP1_P-loop	8.5e-26
GCA_000017945-FLGBHGLA_03760	PF10102	Domain_of_unknown_function_(DUF2341)	2.8e-07
GCA_000017945-FLGBHGLA_03770	-	-	-
GCA_000017945-FLGBHGLA_03780	-	-	-
GCA_000017945-FLGBHGLA_03790	PF01300	Telomere_recombination	1.6e-44
GCA_000017945-FLGBHGLA_03800	PF00902	Sec-independent_protein_translocase_protein_(TatC)	2e-41
GCA_000017945-FLGBHGLA_03810	PF01931	Protein_of_unknown_function_DUF84	3.9e-42
GCA_000017945-FLGBHGLA_03820	PF08541	3-Oxoacyl-[acyl-carrier-protein_(ACP)]_synthase_III_C_terminal__	1.7e-16
GCA_000017945-FLGBHGLA_03830	PF00108	Thiolase,_N-terminal_domain	2.6e-10
GCA_000017945-FLGBHGLA_03840	PF01796	DUF35_OB-fold_domain,_acyl-CoA-associated	2.2e-13
GCA_000017945-FLGBHGLA_03850	PF00501	AMP-binding_enzyme	4.3e-80
GCA_000017945-FLGBHGLA_03860	-	-	-
GCA_000017945-FLGBHGLA_03870	PF00892	EamA-like_transporter_family	3.1e-34
GCA_000017945-FLGBHGLA_03880	PF04242	Protein_of_unknown_function_(DUF424)	3.2e-25
GCA_000017945-FLGBHGLA_03890	PF02826	D-isomer_specific_2-hydroxyacid_dehydrogenase,_NAD_binding_domain	3e-61
GCA_000017945-FLGBHGLA_03900	PF00815	Histidinol_dehydrogenase	9.4e-95
GCA_000017945-FLGBHGLA_03910	PF13549	ATP-grasp_domain	7.4e-22
GCA_000017945-FLGBHGLA_03920	PF13607	Succinyl-CoA_ligase_like_flavodoxin_domain	1.7e-29
GCA_000017945-FLGBHGLA_03930	PF01294	Ribosomal_protein_L13e	9.2e-13
GCA_000017945-FLGBHGLA_03940	-	-	-
GCA_000017945-FLGBHGLA_03950	PF02441	Flavoprotein	2e-23
GCA_000017945-FLGBHGLA_03960	-	-	-
GCA_000017945-FLGBHGLA_03970	-	-	-
GCA_000017945-FLGBHGLA_03980	PF07690	Major_Facilitator_Superfamily	1.4e-35
GCA_000017945-FLGBHGLA_03990	PF02548	Ketopantoate_hydroxymethyltransferase	5.7e-118
GCA_000017945-FLGBHGLA_04000	PF01139	tRNA-splicing_ligase_RtcB	1.1e-173
GCA_000017945-FLGBHGLA_04010	PF00999	Sodium/hydrogen_exchanger_family	5.6e-18
GCA_000017945-FLGBHGLA_04020	PF01965	DJ-1/PfpI_family	5.1e-45
GCA_000017945-FLGBHGLA_04030	PF08915	Archaea-specific_editing_domain_of_threonyl-tRNA_synthetase	9.1e-44
GCA_000017945-FLGBHGLA_04040	PF04055	Radical_SAM_superfamily	2.4e-15
GCA_000017945-FLGBHGLA_04050	PF01979	Amidohydrolase_family	2.2e-10
GCA_000017945-FLGBHGLA_04060	PF00132	Bacterial_transferase_hexapeptide_(six_repeats)	5.5e-07
GCA_000017945-FLGBHGLA_04070	PF00206	Lyase	2.4e-48
GCA_000017945-FLGBHGLA_04080	PF03091	CutA1_divalent_ion_tolerance_protein	1.5e-34
GCA_000017945-FLGBHGLA_04090	PF02686	Glu-tRNAGln_amidotransferase_C_subunit	2.2e-10
GCA_000017945-FLGBHGLA_04100	PF09376	NurA_domain	1.3e-08
GCA_000017945-FLGBHGLA_04110	-	-	-
GCA_000017945-FLGBHGLA_04120	-	-	-
GCA_000017945-FLGBHGLA_04130	-	-	-
GCA_000017945-FLGBHGLA_04140	PF00155	Aminotransferase_class_I_and_II	5.3e-45
GCA_000017945-FLGBHGLA_04150	PF13522	Glutamine_amidotransferase_domain	9.9e-21
GCA_000017945-FLGBHGLA_04160	PF01645	Conserved_region_in_glutamate_synthase	6.9e-118
GCA_000017945-FLGBHGLA_04170	PF07690	Major_Facilitator_Superfamily	8.7e-08
GCA_000017945-FLGBHGLA_04180	-	-	-
GCA_000017945-FLGBHGLA_04190	PF00753	Metallo-beta-lactamase_superfamily	7.3e-27
GCA_000017945-FLGBHGLA_04200	-	-	-
GCA_000017945-FLGBHGLA_04210	PF02568	Thiamine_biosynthesis_protein_(ThiI)	9.8e-13
GCA_000017945-FLGBHGLA_04220	PF01924	Hydrogenase_formation_hypA_family	2.3e-125
GCA_000017945-FLGBHGLA_04230	PF04981	NMD3_family_	2.4e-41
GCA_000017945-FLGBHGLA_04240	PF06560	Glucose-6-phosphate_isomerase_(GPI)	1.1e-23
GCA_000017945-FLGBHGLA_04250	PF01040	UbiA_prenyltransferase_family	4.5e-42
GCA_000017945-FLGBHGLA_04260	PF01918	Alba	1.3e-13
GCA_000017945-FLGBHGLA_04270	PF01131	DNA_topoisomerase	1.7e-70
GCA_000017945-FLGBHGLA_04280	PF12894	Anaphase-promoting_complex_subunit_4_WD40_domain	1.7e-06
GCA_000017945-FLGBHGLA_04290	PF02754	Cysteine-rich_domain	4.4e-25
GCA_000017945-FLGBHGLA_04300	PF00926	3,4-dihydroxy-2-butanone_4-phosphate_synthase	3.6e-44
GCA_000017945-FLGBHGLA_04310	-	-	-
GCA_000017945-FLGBHGLA_04320	PF01909	Nucleotidyltransferase_domain	6.6e-09
GCA_000017945-FLGBHGLA_04330	PF00586	AIR_synthase_related_protein,_N-terminal_domain	1.6e-07
GCA_000017945-FLGBHGLA_04340	PF01884	PcrB_family	1.5e-48
GCA_000017945-FLGBHGLA_04350	PF05129	Transcription_elongation_factor_Elf1_like	2.8e-13
GCA_000017945-FLGBHGLA_04360	-	-	-
GCA_000017945-FLGBHGLA_04370	PF06026	Ribose_5-phosphate_isomerase_A_(phosphoriboisomerase_A)	1.8e-46
GCA_000017945-FLGBHGLA_04380	-	-	-
GCA_000017945-FLGBHGLA_04390	-	-	-
GCA_000017945-FLGBHGLA_04400	PF07940	Heparinase_II/III-like_protein	2.8e-09
GCA_000017945-FLGBHGLA_04410	-	-	-
GCA_000017945-FLGBHGLA_04420	PF00290	Tryptophan_synthase_alpha_chain	7.6e-32
GCA_000017945-FLGBHGLA_04430	-	-	-
GCA_000017945-FLGBHGLA_04440	-	-	-
GCA_000017945-FLGBHGLA_04450	-	-	-
GCA_000017945-FLGBHGLA_04460	-	-	-
GCA_000017945-FLGBHGLA_04470	-	-	-
GCA_000017945-FLGBHGLA_04480	PF13360	PQQ-like_domain	7.8e-06
GCA_000017945-FLGBHGLA_04490	PF00069	Protein_kinase_domain	2e-19
GCA_000017945-FLGBHGLA_04500	PF16043	Domain_of_unknown_function_(DUF4795)	1.1e-09
GCA_000017945-FLGBHGLA_04510	PF01661	Macro_domain	2.4e-30
GCA_000017945-FLGBHGLA_04520	-	-	-
GCA_000017945-FLGBHGLA_04530	PF00535	Glycosyl_transferase_family_2	5.6e-33
