accession	IPR	IPRMdescription	IPR_PFAM	IPR_PFAMdescription
GCA_000017945-FLGBHGLA_03910	IPR013815	ATP-grasp_fold,_subdomain_1	PF13549	ATP-grasp_domain
GCA_000017945-FLGBHGLA_03920	IPR003781;_IPR016102;_IPR032875;_IPR036291	CoA-binding;_Succinyl-CoA_synthetase-like;_Succinyl-CoA_synthetase-like,_flavodoxin_domain;_NAD(P)-binding_domain_superfamily	PF13607;_PF13380	Succinyl-CoA_ligase_like_flavodoxin_domain;_CoA_binding_domain
GCA_000017945-FLGBHGLA_03930	IPR001380	Ribosomal_protein_L13e	PF01294	Ribosomal_protein_L13e
GCA_000017945-FLGBHGLA_03940	-	-	-	-
GCA_000017945-FLGBHGLA_03950	IPR036551;_IPR004507;_IPR003382	Flavin_prenyltransferase-like;_Flavin_prenyltransferase_UbiX-like;_Flavoprotein	PF02441	Flavoprotein
GCA_000017945-FLGBHGLA_03960	-	-	-	-
GCA_000017945-FLGBHGLA_03970	IPR014746	Glutamine_synthetase/guanido_kinase,_catalytic_domain	-	-
GCA_000017945-FLGBHGLA_03980	IPR020846;_IPR011701;_IPR001958;_IPR036259	Major_facilitator_superfamily_domain;_Major_facilitator_superfamily;_Tetracycline_resistance_protein_TetA/multidrug_resistance_protein_MdtG;_MFS_transporter_superfamily	PF07690	Major_Facilitator_Superfamily
GCA_000017945-FLGBHGLA_03990	IPR003700;_IPR015813	Ketopantoate_hydroxymethyltransferase;_Pyruvate/Phosphoenolpyruvate_kinase-like_domain_superfamily	PF02548	Ketopantoate_hydroxymethyltransferase
GCA_000017945-FLGBHGLA_04000	IPR036025;_IPR001233	tRNA-splicing_ligase_RtcB-like_superfamily;_tRNA-splicing_ligase,_RtcB	PF01139	tRNA-splicing_ligase_RtcB
GCA_000017945-FLGBHGLA_04010	IPR038770;_IPR006153	Sodium/solute__symporter__superfamily;_Cation/H+_exchanger	PF00999	Sodium/hydrogen_exchanger_family
GCA_000017945-FLGBHGLA_04020	IPR029062;_IPR006286;_IPR002818	Class_I_glutamine_amidotransferase-like;_Deglycase_PfpI;_DJ-1/PfpI	PF01965	DJ-1/PfpI_family
GCA_000017945-FLGBHGLA_04030	IPR023509;_IPR015011	D-aminoacyl-tRNA_deacylase-like_superfamily;_Threonyl-tRNA_synthetase,_editing_domain,_archaea	PF08915	Archaea-specific_editing_domain_of_threonyl-tRNA_synthetase
GCA_000017945-FLGBHGLA_04040	IPR023885;_IPR007197;_IPR017200;_IPR013785;_IPR034395;_IPR034481;_IPR027634	4Fe4S-binding_SPASM_domain;_Radical_SAM;_Coenzyme_PQQ_synthesis_protein_E;_Aldolase-type_TIM_barrel;_SPASM/twitch_domain-containing;_Main_SPASM_domain-containing;_Radical_SAM_protein,_BA_1875_family	PF04055;_PF13186	Radical_SAM_superfamily;_Iron-sulfur_cluster-binding_domain
GCA_000017945-FLGBHGLA_04050	IPR006680;_IPR032466	Amidohydrolase-related;_Metal-dependent_hydrolase	PF01979	Amidohydrolase_family
GCA_000017945-FLGBHGLA_04060	IPR029044	Nucleotide-diphospho-sugar_transferases	-	-
GCA_000017945-FLGBHGLA_04070	IPR019468;_IPR008948;_IPR004769;_IPR000362;_IPR022761;_IPR024083;_IPR020557	Adenylosuccinate_lyase_C-terminal;_L-Aspartase-like;_Adenylosuccinate_lyase;_Fumarate_lyase_family;_Fumarate_lyase,_N-terminal;_Fumarase/histidase,_N-terminal;_Fumarate_lyase,_conserved_site	PF10397;_PF00206	Adenylosuccinate_lyase_C-terminus;_Lyase
GCA_000017945-FLGBHGLA_04080	IPR004323;_IPR011322;_IPR015867	Divalent_ion_tolerance_protein,_CutA;_Nitrogen_regulatory_PII-like,_alpha/beta;_Nitrogen_regulatory_protein_PII/ATP_phosphoribosyltransferase,_C-terminal	PF03091	CutA1_divalent_ion_tolerance_protein
GCA_000017945-FLGBHGLA_04090	IPR003837;_IPR036113	Glu-tRNAGln_amidotransferase_C_subunit;_Glu-tRNAGln_amidotransferase_superfamily,_subunit_C	PF02686	Glu-tRNAGln_amidotransferase_C_subunit
GCA_000017945-FLGBHGLA_04100	IPR018977	NurA_domain	PF09376	NurA_domain
GCA_000017945-FLGBHGLA_04110	-	-	-	-
GCA_000017945-FLGBHGLA_04120	-	-	-	-
GCA_000017945-FLGBHGLA_04130	-	-	-	-
GCA_000017945-FLGBHGLA_04140	IPR004839;_IPR015424;_IPR015421	Aminotransferase,_class_I/classII;_Pyridoxal_phosphate-dependent_transferase;_Pyridoxal_phosphate-dependent_transferase,_major_domain	PF00155	Aminotransferase_class_I_and_II
GCA_000017945-FLGBHGLA_04150	IPR029055;_IPR017932	Nucleophile_aminohydrolases,_N-terminal;_Glutamine_amidotransferase_type_2_domain	PF13522	Glutamine_amidotransferase_domain
GCA_000017945-FLGBHGLA_04160	IPR036485;_IPR002489;_IPR017900;_IPR013785;_IPR017896;_IPR002932	Glutamate_synthase,_alpha_subunit,_C-terminal_domain_superfamily;_Glutamate_synthase,_alpha_subunit,_C-terminal;_4Fe-4S_ferredoxin,_iron-sulphur_binding,_conserved_site;_Aldolase-type_TIM_barrel;_4Fe-4S_ferredoxin-type,_iron-sulphur_binding_domain;_Glutamate_synthase_domain	PF01493;_PF14697;_PF01645	GXGXG_motif;_4Fe-4S_dicluster_domain;_Conserved_region_in_glutamate_synthase
GCA_000017945-FLGBHGLA_04170	IPR036259	MFS_transporter_superfamily	-	-
GCA_000017945-FLGBHGLA_04180	-	-	-	-
GCA_000017945-FLGBHGLA_04190	IPR001279;_IPR037482;_IPR036866	Metallo-beta-lactamase;_ST1585,_MBL-fold;_Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like	PF00753	Metallo-beta-lactamase_superfamily
GCA_000017945-FLGBHGLA_04200	-	-	-	-
GCA_000017945-FLGBHGLA_04210	IPR020536;_IPR014729	Thil,_AANH_domain;_Rossmann-like_alpha/beta/alpha_sandwich_fold	PF02568	Thiamine_biosynthesis_protein_(ThiI)
GCA_000017945-FLGBHGLA_04220	IPR002780	Hydrogenase_formation_HypD_protein	PF01924	Hydrogenase_formation_hypA_family
GCA_000017945-FLGBHGLA_04230	IPR007064;_IPR039768	Nmd3,_N-terminal;_Ribosomal_export_protein_Nmd3	PF04981	NMD3_family
GCA_000017945-FLGBHGLA_04240	IPR011051;_IPR010551;_IPR014710	RmlC-like_cupin_domain_superfamily;_Glucose-6-phosphate_isomerase,_prokaryote;_RmlC-like_jelly_roll_fold	PF06560	Glucose-6-phosphate_isomerase_(GPI)
GCA_000017945-FLGBHGLA_04250	IPR000537;_IPR023547	UbiA_prenyltransferase_family;_Digeranylgeranylglyceryl_phosphate_synthase	PF01040	UbiA_prenyltransferase_family
GCA_000017945-FLGBHGLA_04260	IPR036882;_IPR002775	Alba-like_domain_superfamily;_DNA/RNA-binding_protein_Alba-like	PF01918	Alba
GCA_000017945-FLGBHGLA_04270	IPR027417;_IPR014001;_IPR005736;_IPR013497;_IPR006171;_IPR013824;_IPR003602;_IPR011545;_IPR003593;_IPR013826;_IPR003601;_IPR023405	P-loop_containing_nucleoside_triphosphate_hydrolase;_Helicase_superfamily_1/2,_ATP-binding_domain;_Reverse_gyrase;_DNA_topoisomerase,_type_IA,_central;_TOPRIM__domain;_DNA_topoisomerase,_type_IA,_central_region,_subdomain_1;_DNA_topoisomerase,_type_IA,_DNA-binding_domain;_DEAD/DEAH_box_helicase_domain;_AAA+_ATPase_domain;_DNA_topoisomerase,_type_IA,_central_region,_subdomain_3;_DNA_topoisomerase,_type_IA,_domain_2;_DNA_topoisomerase,_type_IA,_core_domain	PF01131;_PF00270;_PF01751	DNA_topoisomerase;_DEAD/DEAH_box_helicase;_Toprim_domain
GCA_000017945-FLGBHGLA_04280	IPR015943;_IPR011047	WD40/YVTN_repeat-like-containing_domain_superfamily;_Quinoprotein_alcohol_dehydrogenase-like_superfamily	-	-
GCA_000017945-FLGBHGLA_04290	IPR004017	Cysteine-rich_domain	PF02754	Cysteine-rich_domain
GCA_000017945-FLGBHGLA_04300	IPR017945;_IPR000422	DHBP_synthase_RibB-like_alpha/beta_domain_superfamily;_3,4-dihydroxy-2-butanone_4-phosphate_synthase,_RibB	PF00926	3,4-dihydroxy-2-butanone_4-phosphate_synthase
GCA_000017945-FLGBHGLA_04310	-	-	-	-
GCA_000017945-FLGBHGLA_04320	IPR002934;_IPR009185	Polymerase,_nucleotidyl_transferase_domain;_Predicted_nucleotidyltransferase	PF01909	Nucleotidyltransferase_domain
GCA_000017945-FLGBHGLA_04330	IPR036921;_IPR006283;_IPR036676;_IPR009186;_IPR016188	PurM-like,_N-terminal_domain_superfamily;_Thiamine-monophosphate_kinase;_PurM-like,_C-terminal_domain_superfamily;_Predicted_nickel_metalloenzyme_maturation_factor,_AIR_synthase-related;_PurM-like,_N-terminal_domain	PF00586	AIR_synthase_related_protein,_N-terminal_domain
GCA_000017945-FLGBHGLA_04340	IPR038597;_IPR008205;_IPR010946	GGGP/HepGP_synthase_superfamily;_Geranylgeranylglyceryl_phosphate_synthase/Heptaprenylglyceryl_phosphate_synthase;_Geranylgeranylglyceryl_phosphate_synthase	PF01884	PcrB_family
GCA_000017945-FLGBHGLA_04350	IPR007808	Transcription_elongation_factor_1	PF05129	Transcription_elongation_factor_Elf1_like
GCA_000017945-FLGBHGLA_04360	IPR007527	Zinc_finger,_SWIM-type	-	-
GCA_000017945-FLGBHGLA_04370	IPR037171;_IPR004788	NagB/RpiA_transferase-like;_Ribose_5-phosphate_isomerase,_type_A	PF06026	Ribose_5-phosphate_isomerase_A_(phosphoriboisomerase_A)
GCA_000017945-FLGBHGLA_04380	-	-	-	-
GCA_000017945-FLGBHGLA_04390	-	-	-	-
GCA_000017945-FLGBHGLA_04400	IPR008929;_IPR012480	Chondroitin_AC/alginate_lyase;_Heparinase_II/III-like	PF07940	Heparinase_II/III-like_protein
GCA_000017945-FLGBHGLA_04410	-	-	-	-
GCA_000017945-FLGBHGLA_04420	IPR002028;_IPR011060;_IPR013785	Tryptophan_synthase,_alpha_chain;_Ribulose-phosphate_binding_barrel;_Aldolase-type_TIM_barrel	PF00290	Tryptophan_synthase_alpha_chain
GCA_000017945-FLGBHGLA_04430	-	-	-	-
GCA_000017945-FLGBHGLA_04440	-	-	-	-
GCA_000017945-FLGBHGLA_04450	-	-	-	-
GCA_000017945-FLGBHGLA_04460	-	-	-	-
GCA_000017945-FLGBHGLA_04470	IPR015943	WD40/YVTN_repeat-like-containing_domain_superfamily	-	-
GCA_000017945-FLGBHGLA_04480	IPR015943	WD40/YVTN_repeat-like-containing_domain_superfamily	-	-
GCA_000017945-FLGBHGLA_04490	IPR011009;_IPR000719	Protein_kinase-like_domain_superfamily;_Protein_kinase_domain	PF00069	Protein_kinase_domain
GCA_000017945-FLGBHGLA_04500	-	-	-	-
GCA_000017945-FLGBHGLA_04510	IPR039658;_IPR002589	Macro_domain_protein;_Macro_domain	PF01661	Macro_domain
GCA_000017945-FLGBHGLA_04520	IPR026392	Exosortase/Archaeosortase_domain	-	-
GCA_000017945-FLGBHGLA_04530	IPR029044;_IPR007267;_IPR039528;_IPR001173	Nucleotide-diphospho-sugar_transferases;_GtrA-like_protein;_DPM1-like;_Glycosyltransferase_2-like	PF04138;_PF00535	GtrA-like_protein;_Glycosyl_transferase_family_2
GCA_000017945-FLGBHGLA_04540	IPR008930;_IPR001330	Terpenoid_cyclases/protein_prenyltransferase_alpha-alpha_toroid;_PFTB_repeat	PF00432	Prenyltransferase_and_squalene_oxidase_repeat
GCA_000017945-FLGBHGLA_04550	IPR009720;_IPR010672;_IPR023656;_IPR016185;_IPR013815	IMP_biosynthesis_enzyme_PurP,_C-terminal;_IMP_biosynthesis_enzyme_PurP,_N-terminal;_IMP_biosynthesis_enzyme_PurP;_Pre-ATP-grasp_domain_superfamily;_ATP-grasp_fold,_subdomain_1	PF06973;_PF06849	Domain_of_unknown_function_(DUF1297);_Protein_of_unknown_function_(DUF1246)
GCA_000017945-FLGBHGLA_04560	IPR009577	Putative_small_multi-drug_export	PF06695	Putative_small_multi-drug_export_protein
GCA_000017945-FLGBHGLA_04570	IPR000644	CBS_domain	PF00571	CBS_domain
GCA_000017945-FLGBHGLA_04580	IPR009051;_IPR017896;_IPR017900;_IPR025192;_IPR036010;_IPR006058;_IPR001041;_IPR004489;_IPR012675	Alpha-helical_ferredoxin;_4Fe-4S_ferredoxin-type,_iron-sulphur_binding_domain;_4Fe-4S_ferredoxin,_iron-sulphur_binding,_conserved_site;_Succinate_dehydogenase/fumarate_reductase_N-terminal;_2Fe-2S_ferredoxin-like_superfamily;_2Fe-2S_ferredoxin,_iron-sulphur_binding_site;_2Fe-2S_ferredoxin-type_iron-sulfur_binding_domain;_Succinate_dehydrogenase/fumarate_reductase_iron-sulphur_protein;_Beta-grasp_domain_superfamily	PF13085;_PF13183	2Fe-2S_iron-sulfur_cluster_binding_domain;_4Fe-4S_dicluster_domain
GCA_000017945-FLGBHGLA_04590	-	-	-	-
GCA_000017945-FLGBHGLA_04600	IPR002837	Protein_of_unknown_function_DUF123	PF01986	Domain_of_unknown_function_DUF123
GCA_000017945-FLGBHGLA_04610	-	-	-	-
GCA_000017945-FLGBHGLA_04620	IPR036812;_IPR020471;_IPR023210	NADP-dependent_oxidoreductase_domain_superfamily;_Aldo/keto_reductase;_NADP-dependent_oxidoreductase_domain	PF00248	Aldo/keto_reductase_family
GCA_000017945-FLGBHGLA_04630	IPR004114	THUMP_domain	PF02926	THUMP_domain
GCA_000017945-FLGBHGLA_04640	-	-	-	-
GCA_000017945-FLGBHGLA_04650	IPR027534;_IPR022295;_IPR038716	Ribosomal_protein_L12_family;_Ribosomal_protein_L12,_archaea;_Ribosomal_protein_P1/P2,_N-terminal_domain	PF00428	60s_Acidic_ribosomal_protein
GCA_000017945-FLGBHGLA_04660	IPR002855;_IPR038138;_IPR029035	Phosphopantoate/pantothenate_synthetase;_Phosphopantoate/pantothenate_synthetase_superfamily;_DHS-like_NAD/FAD-binding_domain_superfamily	PF02006	Phosphopantothenate/pantothenate_synthetase
GCA_000017945-FLGBHGLA_04670	IPR019982;_IPR001353;_IPR000426;_IPR029055;_IPR023332	Proteasome_alpha_subunit,_archaeal;_Proteasome,_subunit_alpha/beta;_Proteasome_alpha-subunit,_N-terminal_domain;_Nucleophile_aminohydrolases,_N-terminal;_Proteasome_alpha-type_subunit	PF00227;_PF10584	Proteasome_subunit;_Proteasome_subunit_A_N-terminal_signature
GCA_000017945-FLGBHGLA_04680	IPR001734;_IPR038377	Sodium/solute_symporter;_Sodium/glucose_symporter_superfamily	PF00474	Sodium:solute_symporter_family
GCA_000017945-FLGBHGLA_04690	IPR007436	Protein_of_unknown_function_DUF485	PF04341	Protein_of_unknown_function,_DUF485
GCA_000017945-FLGBHGLA_04700	IPR006015;_IPR006016;_IPR014729	Universal_stress_protein_A;_UspA;_Rossmann-like_alpha/beta/alpha_sandwich_fold	PF00582	Universal_stress_protein_family
GCA_000017945-FLGBHGLA_04710	IPR000537;_IPR039653;_IPR006371	UbiA_prenyltransferase_family;_Prenyltransferase;_4-hydroxybenzoate_polyprenyltransferase-related	PF01040	UbiA_prenyltransferase_family
GCA_000017945-FLGBHGLA_04720	IPR007197;_IPR012840;_IPR013785	Radical_SAM;_Anaerobic_ribonucleoside-triphosphate_reductase_activating_protein;_Aldolase-type_TIM_barrel	PF13353;_PF04055	4Fe-4S_single_cluster_domain;_Radical_SAM_superfamily
GCA_000017945-FLGBHGLA_04730	IPR024706;_IPR019479;_IPR013766;_IPR000866;_IPR022915;_IPR036249	Peroxiredoxin,_AhpC-type;_Peroxiredoxin,_C-terminal;_Thioredoxin_domain;_Alkyl_hydroperoxide_reductase_subunit_C/_Thiol_specific_antioxidant;_Peroxiredoxin,_TDXH_subfamily;_Thioredoxin-like_superfamily	PF10417;_PF00578	C-terminal_domain_of_1-Cys_peroxiredoxin;_AhpC/TSA_family
GCA_000017945-FLGBHGLA_04740	IPR013410;_IPR005537	CRISPR-associated_RAMP_Cmr4;_CRISPR_type_III-associated_RAMP_protein	PF03787	RAMP_superfamily
GCA_000017945-FLGBHGLA_04750	IPR010160;_IPR023101	CRISPR-associated_protein,_Cmr5;_AF1862-like_domain_superfamily	PF09701	CRISPR-associated_protein_(Cas_Cmr5)
GCA_000017945-FLGBHGLA_04760	IPR010172;_IPR005537	CRISPR-associated_protein,_TM1791;_CRISPR_type_III-associated_RAMP_protein	PF03787	RAMP_superfamily
GCA_000017945-FLGBHGLA_04770	IPR024615;_IPR038242	CRISPR-associated_protein_Cmr2,_N-terminal;_Cmr2,_N-terminal_domain_superfamily	PF12469	CRISPR-associated_protein
GCA_000017945-FLGBHGLA_04780	-	-	-	-
GCA_000017945-FLGBHGLA_04790	IPR002904;_IPR023386;_IPR008925;_IPR020751;_IPR014729	Lysine-tRNA_ligase;_Lysine-tRNA_ligase,_insertion_domain_superfamily;_Aminoacyl-tRNA_synthetase,_class_I,_anticodon-binding;_Aminoacyl-tRNA_synthetase,_class_I,_anticodon-binding_domain,_subdomain_2;_Rossmann-like_alpha/beta/alpha_sandwich_fold	PF01921	tRNA_synthetases_class_I_(K)
GCA_000017945-FLGBHGLA_04800	IPR017926;_IPR006221;_IPR029062	Glutamine_amidotransferase;_Anthranilate_synthase/para-aminobenzoate_synthase_like_domain;_Class_I_glutamine_amidotransferase-like	PF00117	Glutamine_amidotransferase_class-I
GCA_000017945-FLGBHGLA_04810	IPR022765;_IPR011604;_IPR013343	Dna2/Cas4,_domain_of_unknown_function_DUF83;_Exonuclease,_phage-type/RecB,_C-terminal;_CRISPR-associated_protein_Cas4	PF01930	Domain_of_unknown_function_DUF83
GCA_000017945-FLGBHGLA_04820	IPR036866;_IPR001279;_IPR001018	Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like;_Metallo-beta-lactamase;_Beta-lactamase,_class-B,_conserved_site	PF00753	Metallo-beta-lactamase_superfamily
GCA_000017945-FLGBHGLA_04830	-	-	-	-
GCA_000017945-FLGBHGLA_04840	IPR027417;_IPR003439;_IPR017871;_IPR003593	P-loop_containing_nucleoside_triphosphate_hydrolase;_ABC_transporter-like;_ABC_transporter,_conserved_site;_AAA+_ATPase_domain	PF00005	ABC_transporter
GCA_000017945-FLGBHGLA_04850	IPR000515;_IPR035906	ABC_transporter_type_1,_transmembrane_domain_MetI-like;_MetI-like_superfamily	-	-
GCA_000017945-FLGBHGLA_04860	IPR024370	PBP_domain	PF12849	PBP_superfamily_domain
GCA_000017945-FLGBHGLA_04870	-	-	-	-
GCA_000017945-FLGBHGLA_04880	-	-	-	-
GCA_000017945-FLGBHGLA_04890	IPR028154	AMP-dependent_ligase,_C-terminal	PF14535	AMP-binding_enzyme_C-terminal_domain
GCA_000017945-FLGBHGLA_04900	IPR023076;_IPR009023;_IPR002202;_IPR004554;_IPR009029;_IPR023074	Hydroxymethylglutaryl-CoA_reductase,_class_I/II,_conserved_site;_Hydroxymethylglutaryl-CoA_reductase,_class_I/II,_NAD/NADP-binding_domain_superfamily;_Hydroxymethylglutaryl-CoA_reductase,_class_I/II;_Hydroxymethylglutaryl-CoA_reductase,_eukaryotic/archaeal_type;_Hydroxymethylglutaryl-CoA_reductase,_class_I/II,_substrate-binding_domain_superfamily;_Hydroxymethylglutaryl-CoA_reductase,_class_I/II,_catalytic_domain_superfamily	PF00368	Hydroxymethylglutaryl-coenzyme_A_reductase
GCA_000017945-FLGBHGLA_04910	IPR011047	Quinoprotein_alcohol_dehydrogenase-like_superfamily	-	-
GCA_000017945-FLGBHGLA_04920	IPR036511;_IPR002616	Queuine_tRNA-ribosyltransferase-like;_tRNA-guanine(15)_transglycosylase-like	PF01702	Queuine_tRNA-ribosyltransferase
GCA_000017945-FLGBHGLA_04930	IPR003838;_IPR025857	ABC_transporter_permease_protein_domain;_MacB-like_periplasmic_core_domain	PF02687;_PF12704	FtsX-like_permease_family;_MacB-like_periplasmic_core_domain
GCA_000017945-FLGBHGLA_04940	IPR036238	Transglutaminase,_C-terminal_domain_superfamily	-	-
GCA_000017945-FLGBHGLA_04950	IPR007560;_IPR011335	Restriction_endonuclease_type_IV,__Mrr;_Restriction_endonuclease__type_II-like	PF04471	Restriction_endonuclease
GCA_000017945-FLGBHGLA_04960	-	-	-	-
GCA_000017945-FLGBHGLA_04970	IPR006367;_IPR036291;_IPR028161	Sirohaem_synthase,_N-terminal;_NAD(P)-binding_domain_superfamily;_Siroheme_biosynthesis_protein_Met8	PF13241	Putative_NAD(P)-binding
GCA_000017945-FLGBHGLA_04980	-	-	-	-
GCA_000017945-FLGBHGLA_04990	IPR002745;_IPR022928	Phosphotransferase_KptA/Tpt1;_RNA_2'-phosphotransferase_KptA,_putative	PF01885	RNA_2'-phosphotransferase,_Tpt1_/_KptA_family
GCA_000017945-FLGBHGLA_05000	IPR007537;_IPR024956;_IPR038469	tRNAHis_guanylyltransferase_Thg1;_tRNAHis_guanylyltransferase_catalytic_domain;_tRNAHis_guanylyltransferase_Thg1_superfamily	PF04446	tRNAHis_guanylyltransferase
GCA_000017945-FLGBHGLA_05010	IPR004451;_IPR001387;_IPR010982	Conserved_hypothetical_protein_CHP00270;_Cro/C1-type_helix-turn-helix_domain;_Lambda_repressor-like,_DNA-binding_domain_superfamily	PF01381	Helix-turn-helix
GCA_000017945-FLGBHGLA_05020	IPR023885;_IPR034391;_IPR034481;_IPR034395;_IPR013785;_IPR007197;_IPR006638	4Fe4S-binding_SPASM_domain;_Cmo-like_SPASM_domain_containing;_Main_SPASM_domain-containing;_SPASM/twitch_domain-containing;_Aldolase-type_TIM_barrel;_Radical_SAM;_Elp3/MiaB/NifB	PF13186;_PF13394;_PF04055	Iron-sulfur_cluster-binding_domain;_4Fe-4S_single_cluster_domain;_Radical_SAM_superfamily
GCA_000017945-FLGBHGLA_05030	IPR013785;_IPR016431;_IPR007197;_IPR040085	Aldolase-type_TIM_barrel;_Pyruvate-formate_lyase-activating_enzyme,_predicted;_Radical_SAM;_Protein_MJ0674-like	PF13353;_PF04055	4Fe-4S_single_cluster_domain;_Radical_SAM_superfamily
GCA_000017945-FLGBHGLA_05040	IPR001375;_IPR029058	Peptidase_S9,_prolyl_oligopeptidase,_catalytic_domain;_Alpha/Beta_hydrolase_fold	PF00326	Prolyl_oligopeptidase_family
GCA_000017945-FLGBHGLA_05050	IPR036921;_IPR010918;_IPR011854;_IPR036676;_IPR016188	PurM-like,_N-terminal_domain_superfamily;_PurM-like,_C-terminal_domain;_Carbamoyl_dehydratase_HypE;_PurM-like,_C-terminal_domain_superfamily;_PurM-like,_N-terminal_domain	PF02769;_PF00586	AIR_synthase_related_protein,_C-terminal_domain;_AIR_synthase_related_protein,_N-terminal_domain
GCA_000017945-FLGBHGLA_05060	-	-	-	-
GCA_000017945-FLGBHGLA_05070	IPR027417;_IPR019195	P-loop_containing_nucleoside_triphosphate_hydrolase;_ABC_transporter,_ATPase,_putative	PF09818	Predicted_ATPase_of_the_ABC_class
GCA_000017945-FLGBHGLA_05080	-	-	-	-
GCA_000017945-FLGBHGLA_05090	IPR019885;_IPR036390;_IPR019888;_IPR000485;_IPR036388;_IPR011991;_IPR019887;_IPR011008	Transcription_regulator_HTH,_AsnC-type,_conserved_site;_Winged_helix_DNA-binding_domain_superfamily;_Transcription_regulator_AsnC-type;_AsnC-type_HTH_domain;_Winged_helix-like_DNA-binding_domain_superfamily;_ArsR-like_helix-turn-helix_domain;_Transcription_regulator_AsnC/Lrp,_ligand_binding_domain;_Dimeric_alpha-beta_barrel	PF13412;_PF01037	Winged_helix-turn-helix_DNA-binding;_Lrp/AsnC_ligand_binding_domain
GCA_000017945-FLGBHGLA_05100	IPR023031;_IPR000836;_IPR004467;_IPR029057	Orotate_phosphoribosyltransferase;_Phosphoribosyltransferase_domain;_Orotate_phosphoribosyl_transferase_domain;_Phosphoribosyltransferase-like	PF00156	Phosphoribosyl_transferase_domain
GCA_000017945-FLGBHGLA_05110	IPR003171;_IPR029041;_IPR022026	Methylenetetrahydrofolate_reductase;_FAD-linked_oxidoreductase-like;_Methylene-tetrahydrofolate_reductase_C-terminal	PF02219;_PF12225	Methylenetetrahydrofolate_reductase;_Methylene-tetrahydrofolate_reductase_C_terminal
GCA_000017945-FLGBHGLA_05120	IPR000644	CBS_domain	PF00571	CBS_domain
GCA_000017945-FLGBHGLA_05130	IPR036866	Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like	-	-
GCA_000017945-FLGBHGLA_05140	-	-	-	-
GCA_000017945-FLGBHGLA_05150	IPR029055;_IPR010430	Nucleophile_aminohydrolases,_N-terminal;_Protein_of_unknown_function_DUF1028	PF06267	Family_of_unknown_function_(DUF1028)
GCA_000017945-FLGBHGLA_05160	-	-	-	-
GCA_000017945-FLGBHGLA_05170	-	-	-	-
GCA_000017945-FLGBHGLA_05180	IPR023430	Peptidase_HybD-like_domain_superfamily	-	-
GCA_000017945-FLGBHGLA_05190	IPR023430;_IPR000671	Peptidase_HybD-like_domain_superfamily;_Peptidase_A31_family	-	-
GCA_000017945-FLGBHGLA_05200	IPR003831;_IPR023129	Protein_of_unknown_function_DUF211;_MTH889-like_domain_superfamily	PF02680	Uncharacterized_ArCR,_COG1888
GCA_000017945-FLGBHGLA_05210	IPR035107;_IPR014729;_IPR011063;_IPR000541	tRNA_thiolation_protein,_TtcA/Ctu1_type;_Rossmann-like_alpha/beta/alpha_sandwich_fold;_tRNA(Ile)-lysidine/2-thiocytidine_synthase,_N-terminal;_Cytoplasmic_tRNA_2-thiolation_protein_1	PF01171	PP-loop_family
GCA_000017945-FLGBHGLA_05220	IPR023577;_IPR008173;_IPR033469	CYTH_domain;_Adenylyl_cyclase_CyaB;_CYTH-like_domain_superfamily	PF01928	CYTH_domain
GCA_000017945-FLGBHGLA_05230	IPR011668	Domain_of_unknown_function_DUF1610	PF07754	Domain_of_unknown_function_(DUF1610)
GCA_000017945-FLGBHGLA_05240	IPR036219;_IPR004542;_IPR014038;_IPR014717	Translation_elongation_factor_eEF-1beta-like_superfamily;_Translation_elongation_factor_EF1B,_beta_chain,_archaeal;_Translation_elongation_factor_EF1B,_beta/delta_subunit,_guanine_nucleotide_exchange_domain;_Translation_elongation_factor_EF1B/ribosomal_protein_S6	PF00736	EF-1_guanine_nucleotide_exchange_domain
GCA_000017945-FLGBHGLA_05250	-	-	-	-
GCA_000017945-FLGBHGLA_05260	IPR014426;_IPR036866;_IPR001279	Uncharacterised_protein_family_UPF0282,_hydrolase,_metallo-beta-lactamase;_Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like;_Metallo-beta-lactamase	PF12706	Beta-lactamase_superfamily_domain
GCA_000017945-FLGBHGLA_05270	IPR018214;_IPR036291;_IPR015896;_IPR036343;_IPR015895;_IPR006151;_IPR036453;_IPR000343	Glutamyl-tRNA_reductase,_conserved_site;_NAD(P)-binding_domain_superfamily;_Tetrapyrrole_biosynthesis,_glutamyl-tRNA_reductase,_dimerisation_domain;_Glutamyl-tRNA_reductase,_N-terminal_domain_superfamily;_Tetrapyrrole_biosynthesis,_glutamyl-tRNA_reductase,_N-terminal;_Quinate/shikimate_5-dehydrogenase/glutamyl-tRNA_reductase;_Glutamyl_tRNA-reductase_dimerization_domain_superfamily;_Tetrapyrrole_biosynthesis,_glutamyl-tRNA_reductase	PF00745;_PF05201;_PF01488	Glutamyl-tRNAGlu_reductase,_dimerisation_domain;_Glutamyl-tRNAGlu_reductase,_N-terminal_domain;_Shikimate_/_quinate_5-dehydrogenase
GCA_000017945-FLGBHGLA_05280	IPR008040	Hydantoinaseoxoprolinase,_N-terminal	PF05378	Hydantoinase/oxoprolinase_N-terminal_region
