accession	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue
GCA_000008085-CALJACFG_05450	arCOG04176	TIF6	Translation_initiation_factor_6_(eIF-6)	J	9.9e-29
GCA_000008085-CALJACFG_05460	arCOG00419	Hit	HIT_family_hydrolase	F	9.1e-39
GCA_000008085-CALJACFG_05470	arCOG00535	ThiS	Sulfur_transfer_protein_involved_in_thiamine_biosynthesis	H	3.9e-09
GCA_000008085-CALJACFG_05480	-	-	-	-	-
GCA_000008085-CALJACFG_05490	arCOG00971	PRE1	20S_proteasome,_alpha_subunit	O	3.9e-67
GCA_000008085-CALJACFG_05500	arCOG00042	TilS	tRNA(Ile)-lysidine_synthase_TilS/MesJ	J	9.8e-61
GCA_000008085-CALJACFG_05510	arCOG00048	RlmL	23S_rRNA_G2445_N2-methylase_RlmL	J	2.1e-110
GCA_000008085-CALJACFG_05520	arCOG00072	CysH	3'-phosphoadenosine_5'-phosphosulfate_sulfotransferase_(PAPS_reductase)/FAD_synthetase_or_related_enzyme	E	8.1e-78
GCA_000008085-CALJACFG_05530	arCOG04187	Sdo1	Ribosome_maturation_protein_Sdo1	J	1.8e-53
GCA_000008085-CALJACFG_05540	arCOG00995	-	Queuine_tRNA-ribosyltransferase_related_protein	J	4e-22
GCA_000008085-CALJACFG_05550	arCOG00280	-	HerA_helicase	L	1.2e-49
GCA_000008085-CALJACFG_05560	arCOG00328	PolB3	DNA_polymerase_PolB3	L	1.1e-31
GCA_000008085-CALJACFG_05570	arCOG01744	-	Membrane-bound_metal-dependent_hydrolase_YbcI,_DUF457_family	R	9e-20
GCA_000008085-CALJACFG_05580	arCOG01568	MscS	Small-conductance_mechanosensitive_channel	M	1.2e-49
GCA_000008085-CALJACFG_05590	arCOG00781	RPL32	Ribosomal_protein_L32E	J	7.9e-28
GCA_000008085-CALJACFG_05600	-	-	-	-	-
GCA_000008085-CALJACFG_05610	-	-	-	-	-
GCA_000008085-CALJACFG_05620	-	-	-	-	-
GCA_000008085-CALJACFG_05630	-	-	-	-	-
GCA_000008085-CALJACFG_05640	arCOG00921	-	Predicted_transcriptional_regulator	K	1.1e-51
GCA_000008085-CALJACFG_05650	arCOG00406	AsnS	Aspartyl/asparaginyl-tRNA_synthetase	J	4.6e-100
GCA_000008085-CALJACFG_05660	arCOG00973	RsmB	16S_rRNA_C967_or_C1407_C5-methylase,_RsmB/RsmF_family	J	8.3e-97
GCA_000008085-CALJACFG_05670	arCOG00324	AcuC	Deacetylase,_including_yeast_histone_deacetylase_and_acetoin_utilization_protein	R	1.4e-50
GCA_000008085-CALJACFG_05680	arCOG00488	DnaN	DNA_polymerase_sliding_clamp_subunit_(PCNA_homolog)	L	2.3e-52
GCA_000008085-CALJACFG_05690	arCOG01572	-	Uncharacterized_membrane_protein	S	9.1e-21
GCA_000008085-CALJACFG_05700	arCOG01920	NusG	Transcription_antiterminator_NusG	K	2.2e-40
GCA_000008085-CALJACFG_05710	arCOG02242	Sta1	Viral_transcriptional_activator,_contains_HTH_domain	K	6e-14
GCA_000008085-CALJACFG_05720	arCOG01559	FusA	Translation_elongation_factor_G,_EF-G_(GTPase)	J	3.3e-214
GCA_000008085-CALJACFG_05730	arCOG04143	-	DNA_topoisomerase_VI,_subunit_A	L	4.4e-106
GCA_000008085-CALJACFG_05740	-	-	-	-	-
GCA_000008085-CALJACFG_05750	arCOG04064	RseP	Membrane-associated_protease_RseP,_regulator_of_RpoE_activity_in_bacteria	O	1.8e-38
GCA_000008085-CALJACFG_05760	arCOG04289	RplA	Ribosomal_protein_L1	J	1.4e-53
GCA_000008085-CALJACFG_05770	arCOG04182	RPS24A	Ribosomal_protein_S24E	J	3.5e-17
GCA_000008085-CALJACFG_05780	arCOG01255	AlaS	Alanyl-tRNA_synthetase	J	9.6e-96
GCA_000008085-CALJACFG_05790	arCOG00793	-	PD-(D/E)XK_superfamily_nuclease	V	1.1e-35
GCA_000008085-CALJACFG_05800	-	-	-	-	-
GCA_000017945-FLGBHGLA_00010	arCOG01560	InfB	Translation_initiation_factor_2_(IF-2;_GTPase)	J	1.9e-228
GCA_000017945-FLGBHGLA_00020	arCOG00337	GlcD	FAD/FMN-containing_dehydrogenase	C	6.5e-77
GCA_000017945-FLGBHGLA_00030	arCOG06084	-	Uncharacterized_protein	S	6.6e-38
GCA_000017945-FLGBHGLA_00040	arCOG01701	SEN2	tRNA_splicing_endonuclease	J	1.1e-11
GCA_000017945-FLGBHGLA_00050	arCOG05120	-	Radical_SAM_superfamily_enzyme	R	6.4e-83
GCA_000017945-FLGBHGLA_00060	arCOG12510	-	Uncharacterized_protein	S	2.3e-45
GCA_000017945-FLGBHGLA_00070	arCOG01527	TopA	Topoisomerase_IA	L	4.1e-165
GCA_000017945-FLGBHGLA_00080	arCOG02491	-	WD40_repeats_containing_protein	S	3.5e-27
GCA_000017945-FLGBHGLA_00090	arCOG00543	-	Predicted_metal-dependent_RNase,_consists_of_a_metallo-beta-lactamase_domain_and_an_RNA-binding_KH_domain	R	9.6e-184
GCA_000017945-FLGBHGLA_00100	-	-	-	-	-
GCA_000017945-FLGBHGLA_00110	arCOG00214	MoaB	Molybdopterin_biosynthesis_enzyme	H	4.6e-31
GCA_000017945-FLGBHGLA_00120	arCOG04055	-	Archease,_SHS2_domain_containing_protein_involved_in_activation_of_tRNA_ligase_RtcB	J	1.5e-45
GCA_000017945-FLGBHGLA_00130	arCOG01718	GatB	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_B_subunit	J	2.1e-170
GCA_000017945-FLGBHGLA_00140	arCOG00732	MarR	Transcriptional_regulator,_MarR_family	K	7.3e-22
GCA_000017945-FLGBHGLA_00150	-	-	-	-	-
GCA_000017945-FLGBHGLA_00160	arCOG02044	AglB	Oligosaccharyltransferase_membrane_subunit	M	1.2e-59
GCA_000017945-FLGBHGLA_00170	arCOG02087	-	Predicted_membrane_protein	S	0
GCA_000017945-FLGBHGLA_00180	arCOG00983	AroB	3-dehydroquinate_synthetase	E	2.1e-97
GCA_000017945-FLGBHGLA_00190	arCOG03834	-	ASCH_domain,_RNA_binding_protein	J	6e-143
GCA_000017945-FLGBHGLA_00200	arCOG04214	-	Thiamine_monophosphate_synthetase_YjbQ,_ThiE_analog	H	9.3e-45
GCA_000017945-FLGBHGLA_00210	arCOG01481	PncB	Nicotinic_acid_phosphoribosyltransferase	H	2.7e-141
GCA_000017945-FLGBHGLA_00220	arCOG00985	Tma20	Predicted_RNA-binding_protein,_contains_PUA_domain	J	1.5e-47
GCA_000017945-FLGBHGLA_00230	-	-	-	-	-
GCA_000017945-FLGBHGLA_00240	-	-	-	-	-
GCA_000017945-FLGBHGLA_00250	arCOG00709	-	Aldehyde:ferredoxin_oxidoreductase	C	2.1e-177
GCA_000017945-FLGBHGLA_00260	arCOG03878	-	Predicted_transcriptional_regulator,_contains_HTH_domain	K	5.7e-33
GCA_000017945-FLGBHGLA_00270	arCOG00569	-	Uncharacterized_protein	S	1.6e-24
GCA_000017945-FLGBHGLA_00280	arCOG08212	-	Uncharacterized_protein	S	5.6e-22
GCA_000017945-FLGBHGLA_00290	arCOG02677	HisI	Phosphoribosyl-ATP_pyrophosphohydrolase	E	1.9e-32
GCA_000017945-FLGBHGLA_00300	arCOG00089	HisH	Glutamine_amidotransferase	E	4.9e-53
GCA_000017945-FLGBHGLA_00310	-	-	-	-	-
GCA_000017945-FLGBHGLA_00320	-	-	-	-	-
GCA_000017945-FLGBHGLA_00330	arCOG01734	-	ASCH_domain,_predicted_RNA-binding_domain	J	3.1e-43
GCA_000017945-FLGBHGLA_00340	arCOG04159	-	MoxR-like_ATPase	N	6.9e-121
GCA_000017945-FLGBHGLA_00350	-	-	-	-	-
GCA_000017945-FLGBHGLA_00360	arCOG04889	NrdD	Oxygen-sensitive_ribonucleoside-triphosphate_reductase	F	4.7e-187
GCA_000017945-FLGBHGLA_00370	arCOG05942	-	Uncharacterized_protein	S	1.3e-15
GCA_000017945-FLGBHGLA_00380	arCOG00187	Rli1	Translation_initiation_factor_RLI1,_contains_Fe-S_and_AAA+_ATPase_domains	J	5.6e-213
GCA_000017945-FLGBHGLA_00390	arCOG04114	-	Chromatin_protein_Cren7	L	1.1e-16
GCA_000017945-FLGBHGLA_00400	arCOG04137	SAM1	S-adenosylhomocysteine_hydrolase	H	1.8e-173
GCA_000017945-FLGBHGLA_00410	arCOG00014	RbsK	Sugar_kinase,_ribokinase_family	G	1.6e-51
GCA_000017945-FLGBHGLA_00420	-	-	-	-	-
GCA_000017945-FLGBHGLA_00430	arCOG02199	Mcr1	NAD(P)H-flavin_reductase	H	3e-40
GCA_000017945-FLGBHGLA_00440	arCOG04229	PyrI	Aspartate_carbamoyltransferase,_regulatory_subunit	F	3.2e-50
GCA_000017945-FLGBHGLA_00450	arCOG00911	PyrB	Aspartate_carbamoyltransferase,_catalytic_chain	F	4.5e-96
GCA_000017945-FLGBHGLA_00460	arCOG06688	-	Uncharacterized_membrane_protein,_DUF2029_family	S	1.4e-120
GCA_000017945-FLGBHGLA_00470	arCOG04312	Fcf1	rRNA-processing_protein_FCF1,_contains_PIN_domain	J	4.1e-19
GCA_000017945-FLGBHGLA_00480	arCOG00267	CcmC	ABC-type_transport_system_involved_in_cytochrome_c_biogenesis,_permease_component	O	8e-72
GCA_000017945-FLGBHGLA_00490	arCOG08619	-	Metal-binding_cluster_containing_protein	S	8.4e-38
GCA_000017945-FLGBHGLA_00500	arCOG01830	-	Predicted_nucleotidyltransferase	R	1e-48
GCA_000017945-FLGBHGLA_00510	arCOG04238	CitG	Triphosphoribosyl-dephospho-CoA_synthetase	H	8.7e-26
GCA_000017945-FLGBHGLA_00520	arCOG00032	RlmK	23S_rRNA_G2069_N7-methylase_RlmK_or_C1962_C5-methylase_RlmI	J	2.8e-120
GCA_000017945-FLGBHGLA_00530	arCOG00670	PgsA	Phosphatidylglycerophosphate_synthase	I	5.1e-55
GCA_000017945-FLGBHGLA_00540	arCOG00770	DinG	Rad3-related_DNA_helicase	K	3.6e-56
GCA_000017945-FLGBHGLA_00550	-	-	-	-	-
GCA_000017945-FLGBHGLA_00560	arCOG01766	-	Uncharacterized_protein	S	4.1e-52
GCA_000017945-FLGBHGLA_00570	arCOG01568	MscS	Small-conductance_mechanosensitive_channel	M	6.4e-54
GCA_000017945-FLGBHGLA_00580	arCOG01589	RimK	Glutathione_synthase/glutaminyl_transferase/alpha-L-glutamate_ligase	H	1.8e-75
GCA_000017945-FLGBHGLA_00590	arCOG00980	SlpA	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_2	O	1e-58
GCA_000017945-FLGBHGLA_00600	arCOG01761	NusA	Transcription_elongation_factor	K	1.7e-49
GCA_000017945-FLGBHGLA_00610	arCOG01149	-	Calcineurin-like_phosphoesterase	R	4e-75
GCA_000017945-FLGBHGLA_00620	arCOG04281	DnaG	DNA_primase_(bacterial_type)	L	8.4e-112
GCA_000017945-FLGBHGLA_00630	arCOG00328	PolB3	DNA_polymerase_PolB3	L	3.6e-144
GCA_000017945-FLGBHGLA_00640	-	-	-	-	-
GCA_000017945-FLGBHGLA_00650	arCOG01175	KaiC	KaiC_family_ATPase_implicated_in_signal_transduction,_inactivated	T	3.8e-26
GCA_000017945-FLGBHGLA_00660	arCOG01758	RpsJ	Ribosomal_protein_S10	J	1.9e-29
GCA_000017945-FLGBHGLA_00670	arCOG01067	Ndh	NADH_dehydrogenase,_FAD-containing_subunit	C	5.4e-43
GCA_000017945-FLGBHGLA_00680	arCOG00973	RsmB	16S_rRNA_C967_or_C1407_C5-methylase,_RsmB/RsmF_family	J	4e-80
GCA_000017945-FLGBHGLA_00690	-	-	-	-	-
GCA_000017945-FLGBHGLA_00700	arCOG02050	-	Sulfite_exporter,_TauE/SafE_family	P	5.4e-31
GCA_000017945-FLGBHGLA_00710	arCOG01923	SIK1	RNA_processing_factor_Prp31,_contains_Nop_domain	J	4.7e-115
GCA_000017945-FLGBHGLA_00720	-	-	-	-	-
GCA_000017945-FLGBHGLA_00730	arCOG01143	ApaH	Serine/threonine_protein_phosphatase_PP2A_family	T	2.9e-35
GCA_000017945-FLGBHGLA_00740	-	-	-	-	-
GCA_000017945-FLGBHGLA_00750	arCOG03812	-	Uncharacterized_membrane_protein,_DUF2079_family	S	1.2e-24
GCA_000017945-FLGBHGLA_00760	arCOG01008	NikR	Transcriptional_regulator,_CopG/Arc/MetJ_family_(DNA-binding_and_a_metal-binding_domains)	V	8.3e-11
GCA_000017945-FLGBHGLA_00770	-	-	-	-	-
GCA_000017945-FLGBHGLA_00780	arCOG01719	GatE	Archaeal_Glu-tRNAGln_amidotransferase_subunit_E_(contains_GAD_domain)	J	9.1e-211
GCA_000017945-FLGBHGLA_00790	arCOG03013	PRI2	Eukaryotic-type_DNA_primase,_large_subunit	L	1.3e-49
GCA_000017945-FLGBHGLA_00800	arCOG00497	-	Zn-dependent_hydrolase_of_the_beta-lactamase_fold	R	4.9e-37
GCA_000017945-FLGBHGLA_00810	arCOG02994	-	Cupin_domain_containing_protein	S	2.8e-31
GCA_000017945-FLGBHGLA_00820	arCOG11379	-	Predicted_ATPase_with_C-terminal_HTH_domain	R	0
GCA_000017945-FLGBHGLA_00830	arCOG04076	-	Uncharacterized_protein,_DUF359_family	S	1.8e-34
GCA_000017945-FLGBHGLA_00840	arCOG04077	Spt4	Transcription_elongation_factor_Spt4/RpoE2,_zinc_finger_protein	K	2.2e-15
GCA_000017945-FLGBHGLA_00850	arCOG00675	RPB7	DNA-directed_RNA_polymerase,_subunit_E'/Rpb7	K	2.4e-48
GCA_000017945-FLGBHGLA_00860	arCOG01339	SucD	Succinyl-CoA_synthetase,_alpha_subunit	C	6.7e-99
GCA_000017945-FLGBHGLA_00870	arCOG01337	SucC	Succinyl-CoA_synthetase,_beta_subunit	C	1.2e-125
GCA_000017945-FLGBHGLA_00880	arCOG01341	GIM5	Predicted_prefoldin,_molecular_chaperone_implicated_in_de_novo_protein_folding	O	9.6e-27
GCA_000017945-FLGBHGLA_00890	-	-	-	-	-
GCA_000017945-FLGBHGLA_00900	arCOG00644	CysG	Uroporphyrinogen-III_methylase	H	4.7e-64
GCA_000017945-FLGBHGLA_00910	arCOG02048	HemD	Uroporphyrinogen-III_synthase	H	7.1e-36
GCA_000017945-FLGBHGLA_00920	-	-	-	-	-
GCA_000017945-FLGBHGLA_00930	arCOG00720	-	PIN_domain_containing_protein	V	3.8e-64
GCA_000017945-FLGBHGLA_00940	arCOG01328	CcmB	ABC-type_transport_system_involved_in_cytochrome_c_biogenesis,_permease_component	O	1.2e-42
GCA_000017945-FLGBHGLA_00950	arCOG04047	CcmE	Cytochrome_c-type_biogenesis_protein_CcmE	O	5.4e-40
GCA_000017945-FLGBHGLA_00960	arCOG05908	-	Ferritin-like_domain	P	4.9e-39
GCA_000017945-FLGBHGLA_00970	arCOG01257	GroEL	Chaperonin_GroEL,_HSP60_family	O	2.7e-205
GCA_000017945-FLGBHGLA_00980	arCOG04410	-	Predicted_ATP-grasp_domain_fused_to_redox_center	R	1.1e-37
GCA_000017945-FLGBHGLA_00990	arCOG01414	RfaG	Glycosyltransferase	M	2.2e-87
GCA_000017945-FLGBHGLA_01000	arCOG01057	HxlR	DNA-binding_transcriptional_regulator,_HxlR_family	K	2e-17
GCA_000017945-FLGBHGLA_01010	arCOG01000	PepP	Xaa-Pro_aminopeptidase	E	2e-77
GCA_000017945-FLGBHGLA_01020	arCOG00452	ESCRTIII	Archaeal_division_protein_CdvB,_Snf7/Vps24/ESCRT-III_family	D	5.2e-35
GCA_000017945-FLGBHGLA_01030	arCOG00333	HdrD	CoB--CoM_heterodisulfide_reductase_subunit_D,_GlpC_family	C	1.6e-35
GCA_000017945-FLGBHGLA_01040	arCOG04108	RPS27A	Ribosomal_protein_S27E	J	3.1e-07
GCA_000017945-FLGBHGLA_01050	arCOG02741	ThiC	Thiamine_biosynthesis_protein_ThiC	H	5e-154
GCA_000017945-FLGBHGLA_01060	arCOG04253	-	Uncharacterized_protein,_DUF763_family	S	6.4e-134
GCA_000017945-FLGBHGLA_01070	arCOG00231	PstB	ABC-type_phosphate_transport_system,_ATPase_component	P	4.1e-89
GCA_000017945-FLGBHGLA_01080	arCOG00168	PstA	ABC-type_phosphate_transport_system,_permease_component	P	1.4e-38
GCA_000017945-FLGBHGLA_01090	arCOG00167	PstC	ABC-type_phosphate_transport_system,_permease_component	P	8.8e-55
GCA_000017945-FLGBHGLA_01100	arCOG00614	SpoIVFB	Zn-dependent_protease	R	1.1e-24
GCA_000017945-FLGBHGLA_01110	arCOG01136	ARC1	EMAP_domain_RNA-binding_protein	R	2.1e-44
GCA_000017945-FLGBHGLA_01120	arCOG00324	AcuC	Deacetylase,_including_yeast_histone_deacetylase_and_acetoin_utilization_protein	R	4e-65
GCA_000017945-FLGBHGLA_01130	arCOG06583	Nfo	Endonuclease_IV	L	3e-88
GCA_000017945-FLGBHGLA_01140	arCOG05957	-	Uncharacterized_protein	S	1.8e-19
GCA_000017945-FLGBHGLA_01150	arCOG02491	-	WD40_repeats_containing_protein	S	2.1e-19
GCA_000017945-FLGBHGLA_01160	arCOG01676	ThiF	Dinucleotide-utilizing_enzyme_involved_in_molybdopterin_and_thiamine_biosynthesis	H	6.4e-18
GCA_000017945-FLGBHGLA_01170	-	-	-	-	-
GCA_000017945-FLGBHGLA_01180	arCOG00201	ZnuC	ABC-type_Mn/Zn_transport_system,_ATPase_component	P	7.1e-72
GCA_000017945-FLGBHGLA_01190	arCOG05464	-	Zinc_finger_protein	S	4e-43
GCA_000017945-FLGBHGLA_01200	arCOG01701	SEN2	tRNA_splicing_endonuclease	J	4.6e-27
GCA_000017945-FLGBHGLA_01210	arCOG02640	-	YkaA-like_protein_involved_in_regulation_of_phosphate_transport,_PhoU/UPF0111/DUF47_family	P	4.3e-33
GCA_000017945-FLGBHGLA_01220	arCOG01580	-	DNA-binding_transcriptional_regulator,_Lrp_family	K	6.7e-34
GCA_000017945-FLGBHGLA_01230	arCOG03639	-	Predicted_glutamine_amidotransferase	R	6.4e-22
GCA_000017945-FLGBHGLA_01240	arCOG02062	TusA	TusA-related_sulfurtransferase	P	8.8e-06
GCA_000017945-FLGBHGLA_01250	arCOG01768	GlpG	Membrane_associated_serine_protease	E	1.1e-40
GCA_000017945-FLGBHGLA_01260	arCOG05079	-	Uncharacterized_protein	S	1.3e-201
GCA_000017945-FLGBHGLA_01270	arCOG01018	TrmJ	tRNA_C32,U32_(ribose-2'-O)-methylase_TrmJ_or_a_related_methyltransferase	J	4.4e-47
GCA_000017945-FLGBHGLA_01280	arCOG01997	MarC	Multiple_antibiotic_transporter	U	4.7e-36
GCA_000017945-FLGBHGLA_01290	arCOG01951	TmcA	tRNA(Met)_C34_N-acetyltransferase_TmcA	J	7.4e-261
GCA_000017945-FLGBHGLA_01300	arCOG00891	TatD	Mg-dependent_DNase	L	2.3e-55
GCA_000017945-FLGBHGLA_01310	arCOG04311	-	5'-deoxynucleotidase,_HD_superfamily_hydrolase	F	2.2e-32
GCA_000017945-FLGBHGLA_01320	arCOG00984	EutG	Alcohol_dehydrogenase,_class_IV	C	7e-116
GCA_000017945-FLGBHGLA_01330	arCOG00072	CysH	3'-phosphoadenosine_5'-phosphosulfate_sulfotransferase_(PAPS_reductase)/FAD_synthetase_or_related_enzyme	E	4.1e-116
GCA_000017945-FLGBHGLA_01340	-	-	-	-	-
GCA_000017945-FLGBHGLA_01350	arCOG04105	-	Uncharacterized_protein	S	3.1e-38
GCA_000017945-FLGBHGLA_01360	-	-	-	-	-
GCA_000017945-FLGBHGLA_01370	-	-	-	-	-
GCA_000017945-FLGBHGLA_01380	arCOG01676	ThiF	Dinucleotide-utilizing_enzyme_involved_in_molybdopterin_and_thiamine_biosynthesis	H	1.3e-24
GCA_000017945-FLGBHGLA_01390	arCOG01021	LivK	ABC-type_branched-chain_amino_acid_transport_system,_periplasmic_component	E	1.5e-68
GCA_000017945-FLGBHGLA_01400	arCOG01021	LivK	ABC-type_branched-chain_amino_acid_transport_system,_periplasmic_component	E	1.2e-62
GCA_000017945-FLGBHGLA_01410	-	-	-	-	-
GCA_000017945-FLGBHGLA_01420	arCOG04502	-	PIN_domain_containing_protein	V	3.7e-30
GCA_000017945-FLGBHGLA_01430	-	-	-	-	-
GCA_000017945-FLGBHGLA_01440	arCOG02053	UspA	Nucleotide-binding_protein,__UspA_family	T	1.4e-28
GCA_000017945-FLGBHGLA_01450	arCOG00877	SSL2	DNA_or_RNA_helicase_of_superfamily_II	K	3.6e-124
GCA_000017945-FLGBHGLA_01460	arCOG00196	CcmA	ABC-type_multidrug_transport_system,_ATPase_component	V	1.1e-99
GCA_000017945-FLGBHGLA_01470	arCOG01467	-	ABC-type_multidrug_transport_system,_permease_component	V	3.7e-54
GCA_000017945-FLGBHGLA_01480	arCOG04059	-	Uncharacterized_protein	S	1.5e-23
GCA_000017945-FLGBHGLA_01490	-	-	-	-	-
GCA_000017945-FLGBHGLA_01500	-	-	-	-	-
GCA_000017945-FLGBHGLA_01510	arCOG00809	LeuS	Leucyl-tRNA_synthetase	J	1.7e-294
GCA_000017945-FLGBHGLA_01520	arCOG01268	Rpo6/RpoZ	DNA-directed_RNA_polymerase_subunit_K/omega	K	3.8e-25
GCA_000017945-FLGBHGLA_01530	-	-	-	-	-
GCA_000017945-FLGBHGLA_01540	arCOG01739	LepB	Signal_peptidase_I	U	1.1e-25
GCA_000017945-FLGBHGLA_01550	-	-	-	-	-
GCA_000017945-FLGBHGLA_01560	arCOG00034	PDX2	Predicted_glutamine_amidotransferase_involved_in_pyridoxine_biosynthesis	H	3.1e-52
GCA_000017945-FLGBHGLA_01570	arCOG04075	SNZ1	Pyridoxine_biosynthesis_enzyme	H	8.1e-121
GCA_000017945-FLGBHGLA_01580	arCOG00998	LSM1	Small_nuclear_ribonucleoprotein_(snRNP)_homolog	K	3.3e-13
GCA_000017945-FLGBHGLA_01590	arCOG01678	MetK	Archaeal_S-adenosylmethionine_synthetase	H	1.3e-138
GCA_000017945-FLGBHGLA_01600	arCOG02717	-	Predicted_membrane_protein,_DUF131_family	S	7e-11
GCA_000017945-FLGBHGLA_01610	arCOG00110	RsmC	16S_RNA_G1207_methylase_RsmC	J	4e-68
GCA_000017945-FLGBHGLA_01620	-	-	-	-	-
GCA_000017945-FLGBHGLA_01630	arCOG00207	CcmA	ABC-type_multidrug_transport_system,_ATPase_component	V	6.2e-82
GCA_000017945-FLGBHGLA_01640	arCOG00217	MoeA	Molybdopterin_biosynthesis_enzyme	H	3.3e-137
GCA_000017945-FLGBHGLA_01650	arCOG00922	SalX	ABC-type_antimicrobial_peptide_transport_system,_ATPase_component	V	2.2e-87
GCA_000017945-FLGBHGLA_01660	arCOG08618	-	Uncharacterized_protein	S	7.1e-08
GCA_000017945-FLGBHGLA_01670	arCOG04415	PurD	Phosphoribosylamine-glycine_ligase	F	3.9e-115
GCA_000017945-FLGBHGLA_01680	-	-	-	-	-
GCA_000017945-FLGBHGLA_01690	arCOG00350	RbgA	Ribosome_biogenesis_GTPase_A	J	2e-89
GCA_000017945-FLGBHGLA_01700	arCOG01589	RimK	Glutathione_synthase/glutaminyl_transferase/alpha-L-glutamate_ligase	H	1.4e-48
GCA_000017945-FLGBHGLA_01710	arCOG02737	-	Predicted_Fe-Mo_cluster-binding_protein,_NifX_family	O	4.7e-13
GCA_000017945-FLGBHGLA_01720	arCOG00491	-	Uncharacterized_protein	S	1.3e-33
GCA_000017945-FLGBHGLA_01730	arCOG00057	GlmS	Glucosamine_6-phosphate_synthetase	M	7.2e-160
GCA_000017945-FLGBHGLA_01740	arCOG04073	-	MinD_superfamily_P-loop_ATPase_containing_an_inserted_ferredoxin_domain	C	8.2e-24
GCA_000017945-FLGBHGLA_01750	arCOG04073	-	MinD_superfamily_P-loop_ATPase_containing_an_inserted_ferredoxin_domain	C	4.7e-26
GCA_000017945-FLGBHGLA_01760	arCOG01753	Ssh10b	Archaeal_DNA-binding_protein_Alba	K	2.4e-25
GCA_000017945-FLGBHGLA_01770	arCOG04324	-	Uncharacterized_protein	S	6.9e-34
GCA_000017945-FLGBHGLA_01780	arCOG07216	-	Predicted_transcriptional_regulator_containing_wHTH_domain	K	2.3e-24
GCA_000017945-FLGBHGLA_01790	arCOG00618	HisA	Phosphoribosylformimino-5-aminoimidazole_carboxamide_ribonucleotide_(ProFAR)_isomerase	E	7.2e-55
GCA_000017945-FLGBHGLA_01800	arCOG01185	Bud32	tRNA_A-37_threonylcarbamoyl_transferase_component_Bud32	J	4.1e-40
GCA_000017945-FLGBHGLA_01810	arCOG04184	RdgB	Inosine/xanthosine_triphosphate_pyrophosphatase,_all-alpha_NTP-PPase_family	F	2.2e-55
GCA_000017945-FLGBHGLA_01820	arCOG01722	RpsM	Ribosomal_protein_S13	J	5.6e-53
GCA_000017945-FLGBHGLA_01830	arCOG04239	RpsD	Ribosomal_protein_S4_or_related_protein	J	7.7e-64
GCA_000017945-FLGBHGLA_01840	arCOG04240	RpsK	Ribosomal_protein_S11	J	1.2e-52
GCA_000017945-FLGBHGLA_01850	arCOG04241	RpoA/Rpo1	DNA-directed_RNA_polymerase_subunit_D	K	1.6e-59
GCA_000017945-FLGBHGLA_01860	arCOG00780	RPL18A	Ribosomal_protein_L18E	J	5.1e-36
GCA_000017945-FLGBHGLA_01870	arCOG04242	RplM	Ribosomal_protein_L13	J	1.5e-39
GCA_000017945-FLGBHGLA_01880	arCOG04243	RpsI	Ribosomal_protein_S9	J	4.9e-47
GCA_000017945-FLGBHGLA_01890	arCOG04244	RPB10	DNA-directed_RNA_polymerase,_subunit_N_(RpoN/RPB10)	K	2.9e-20
GCA_000017945-FLGBHGLA_01900	arCOG04245	RpsB	Ribosomal_protein_S2	J	1.5e-77
GCA_000017945-FLGBHGLA_01910	arCOG00349	Fer	Ferredoxin	C	1.6e-19
GCA_000017945-FLGBHGLA_01920	arCOG04135	-	Zn-finger_protein	R	3.9e-23
GCA_000017945-FLGBHGLA_01930	arCOG00557	Lhr	Lhr-like_helicase_with_C-terminal_Zn_finger_domain	R	3.4e-188
GCA_000017945-FLGBHGLA_01940	arCOG04145	TrkG	Trk-type_K+_transport_system,_membrane_component	P	2.6e-65
GCA_000017945-FLGBHGLA_01950	arCOG04327	RPS25	Ribosomal_protein_S25	J	8.2e-26
GCA_000017945-FLGBHGLA_01960	arCOG00347	PbaA	20S_proteasome_assembly_factor,_ATP-grasp_superfamily_enzyme	O	9.3e-49
GCA_000017945-FLGBHGLA_01970	arCOG01840	IbpA	Molecular_chaperone_(HSP20_family)	O	3.4e-20
GCA_000017945-FLGBHGLA_01980	arCOG01255	AlaS	Alanyl-tRNA_synthetase	J	1.8e-276
GCA_000017945-FLGBHGLA_01990	-	-	-	-	-
GCA_000017945-FLGBHGLA_02000	arCOG00951	-	Radical_SAM_superfamily_enzyme	R	2.1e-126
GCA_000017945-FLGBHGLA_02010	arCOG00861	LysC	Aspartokinase	E	8.9e-98
GCA_000017945-FLGBHGLA_02020	-	-	-	-	-
GCA_000017945-FLGBHGLA_02030	arCOG01924	AnsB	L-asparaginase/archaeal_Glu-tRNAGln_amidotransferase_subunit_D	E	9.3e-122
GCA_000017945-FLGBHGLA_02040	arCOG05960	-	Putative_phosphosugar_isomerase,_SIS_domain_containing	R	5.3e-43
GCA_000017945-FLGBHGLA_02050	-	-	-	-	-
GCA_000017945-FLGBHGLA_02060	arCOG02724	Ada	Methylated_DNA-protein_cysteine_methyltransferase	L	1e-24
GCA_000017945-FLGBHGLA_02070	-	-	-	-	-
GCA_000017945-FLGBHGLA_02080	arCOG00434	-	AAA+_ATPase_of_MoxR-like_family,_a_component_of_a_putative_secretion_system	N	7.9e-83
